Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sat,"Dec 23, 2000",12:37,@,New York Giants,W 28-25,L -4,,Jacksonville Jaguars,O 37.5,
Sat,"Dec 23, 2000",4:17,@,Denver Broncos,W 38-9,W -7,,San Francisco 49ers,U 48.5,
Sat,"Dec 23, 2000",8:36,@,Seattle Seahawks,L 23-42,L -3,,Buffalo Bills,O 42.5,
Sun,"Dec 24, 2000",1:01,@,Washington Redskins,W 20-3,W -7,,Arizona Cardinals,U 38.5,
Sun,"Dec 24, 2000",1:02,@,Baltimore Ravens,W 34-20,W -6,,New York Jets,O 35.5,
Sun,"Dec 24, 2000",1:02,@,Detroit Lions,L 20-23,L -10,,Chicago Bears,O 37,
Sun,"Dec 24, 2000",1:02,@,Green Bay Packers,W 17-14 (OT),W -2.5,,Tampa Bay Buccaneers,U 38,
Sun,"Dec 24, 2000",1:02,,Miami Dolphins,W 27-24,L -4,@,New England Patriots,O 35,
Sun,"Dec 24, 2000",1:02,,St Louis Rams,W 26-21,W -3.5,@,New Orleans Saints,U 56,
Sun,"Dec 24, 2000",1:03,@,Philadelphia Eagles,W 16-7,L -10.5,,Cincinnati Bengals,U 35,
Sun,"Dec 24, 2000",1:05,,Kansas City Chiefs,L 13-29,L -4.5,@,Atlanta Falcons,O 40.5,
Sun,"Dec 24, 2000",4:05,,Pittsburgh Steelers,W 34-21,W -3,@,San Diego Chargers,O 37.5,
Sun,"Dec 24, 2000",4:15,@,Indianapolis Colts,W 31-10,W -3,,Minnesota Vikings,U 53.5,
Sun,"Dec 24, 2000",4:15,@,Oakland Raiders,W 52-9,W -9,,Carolina Panthers,O 45.5,
Mon,"Dec 25, 2000",9:10,@,Tennessee Titans,W 31-0,W -13.5,,Dallas Cowboys,U 37.5,
