Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,"Nov 6, 1983",1:00,@,Green Bay Packers,W 35-21,W -2,,Cleveland Browns,O 53,at Milwaukee
Sun,"Nov 6, 1983",1:00,,Cincinnati Bengals,W 55-14,W -4.5,@,Houston Oilers,O 45,
Sun,"Nov 6, 1983",1:00,,Los Angeles Raiders,W 28-20,W -3.5,@,Kansas City Chiefs,O 45,
Sun,"Nov 6, 1983",1:00,@,Minnesota Vikings,L 12-17,L -7,,Tampa Bay Buccaneers,U 44.5,
Sun,"Nov 6, 1983",1:00,@,New England Patriots,W 21-7,W -1,,Buffalo Bills,U 43,
Sun,"Nov 6, 1983",1:00,@,New Orleans Saints,W 27-10,W -1,,Atlanta Falcons,U 45,
Sun,"Nov 6, 1983",1:00,,Dallas Cowboys,W 27-20,W -6.5,@,Philadelphia Eagles,O 45,
Sun,"Nov 6, 1983",1:00,@,Pittsburgh Steelers,W 26-3,W -5,,San Diego Chargers,U 47,
Sun,"Nov 6, 1983",4:00,@,Los Angeles Rams,W 21-14,W -6.5,,Chicago Bears,U 44.5,
Sun,"Nov 6, 1983",4:00,@,New York Jets,L 14-17,L -6.5,,Baltimore Colts,U 43,
Sun,"Nov 6, 1983",4:00,@,San Francisco 49ers,L 17-20,L -2,,Miami Dolphins,U 45,
Sun,"Nov 6, 1983",4:00,@,Seattle Seahawks,W 27-19,W -3,,Denver Broncos,O 43,
Sun,"Nov 6, 1983",4:00,@,Washington Redskins,W 45-7,W -10,,St Louis Cardinals,P 52,
Mon,"Nov 7, 1983",9:00,@,Detroit Lions,W 15-9,W -5,,New York Giants,U 44,
