Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Fri,Dec 16 1983,9:00,@,Miami Dolphins,W 34-14,W -8,,New York Jets,O 41.5,
Sat,Dec 17 1983,12:30,@,Washington Redskins,W 31-22,L -15.5,,New York Giants,O 44.5,
Sat,Dec 17 1983,4:00,,Cincinnati Bengals,L 14-20,L -3,@,Minnesota Vikings,U 38.5,
Sun,Dec 18 1983,1:00,@,Atlanta Falcons,W 31-14,W -1,,Buffalo Bills,O 43.5,
Sun,Dec 18 1983,1:00,,Green Bay Packers,L 21-23,L -1,@,Chicago Bears,O 43,
Sun,Dec 18 1983,1:00,@,Cleveland Browns,W 30-17,W -3,,Pittsburgh Steelers,O 38.5,
Sun,Dec 18 1983,1:00,,Denver Broncos,L 17-48,L -2.5,@,Kansas City Chiefs,O 43,
Sun,Dec 18 1983,1:00,@,New Orleans Saints,L 24-26,L -2,,Los Angeles Rams,O 40,
Sun,Dec 18 1983,1:00,@,St Louis Cardinals,W 31-7,W -6,,Philadelphia Eagles,U 42,
Sun,Dec 18 1983,2:00,@,Baltimore Colts,W 20-10,W -4,,Houston Oilers,U 40.5,
Sun,Dec 18 1983,4:00,@,Detroit Lions,W 23-20,L -10,,Tampa Bay Buccaneers,O 39.5,
Sun,Dec 18 1983,4:00,@,Los Angeles Raiders,W 30-14,W -9,,San Diego Chargers,U 53.5,
Sun,Dec 18 1983,4:00,@,Seattle Seahawks,W 24-6,W -2.5,,New England Patriots,U 41.5,
Mon,Dec 19 1983,9:00,@,San Francisco 49ers,W 42-17,W PK,,Dallas Cowboys,O 44,
