Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Oct 23 1983,1:00,@,Buffalo Bills,L 0-31,L -3.5,,New England Patriots,U 42.5,
Sun,Oct 23 1983,1:00,@,Cincinnati Bengals,W 28-21,W PK,,Cleveland Browns,O 42.5,
Sun,Oct 23 1983,1:00,@,Green Bay Packers,L 17-20 (OT),L -1,,Minnesota Vikings,U 52,
Sun,Oct 23 1983,1:00,,Kansas City Chiefs,W 13-10 (OT),L -3.5,@,Houston Oilers,U 43.5,
Sun,Oct 23 1983,1:00,@,New York Jets,L 21-27,L -3.5,,Atlanta Falcons,O 42.5,
Sun,Oct 23 1983,1:00,@,Philadelphia Eagles,L 6-7,L -4,,Chicago Bears,U 41,
Sun,Oct 23 1983,1:00,@,Washington Redskins,W 38-17,W -7.5,,Detroit Lions,O 43,
Sun,Oct 23 1983,2:00,,Miami Dolphins,W 21-7,W -3.5,@,Baltimore Colts,U 39,
Sun,Oct 23 1983,4:00,,San Diego Chargers,L 6-14,L -2,@,Denver Broncos,U 47,
Sun,Oct 23 1983,4:00,@,Los Angeles Rams,L 35-45,L PK,,San Francisco 49ers,O 45,
Sun,Oct 23 1983,4:00,@,Seattle Seahawks,L 21-27,L PK,,Pittsburgh Steelers,O 43.5,
Sun,Oct 23 1983,4:00,,New Orleans Saints,W 24-21,W -2.5,@,Tampa Bay Buccaneers,O 42,
Sun,Oct 23 1983,9:00,@,Dallas Cowboys,L 38-40,L -4,,Los Angeles Raiders,O 46,
Mon,Oct 24 1983,9:00,@,St Louis Cardinals,T 20-20 (OT),L -2,,New York Giants,U 44,
