Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Nov 25 1999,12:35,@,Detroit Lions,W 21-17,L -6,,Chicago Bears,U 44,
Thu,Nov 25 1999,4:15,@,Dallas Cowboys,W 20-0,W -1.5,,Miami Dolphins,U 38,
Sun,Nov 28 1999,1:00,@,Carolina Panthers,W 34-28,W -4.5,,Atlanta Falcons,O 40,
Sun,Nov 28 1999,1:00,@,Washington Redskins,W 20-17 (OT),L -10,,Philadelphia Eagles,U 42.5,
Sun,Nov 28 1999,1:01,,Jacksonville Jaguars,W 30-23,P -7,@,Baltimore Ravens,O 36.5,
Sun,Nov 28 1999,1:01,@,Pittsburgh Steelers,L 20-27,L -11,,Cincinnati Bengals,O 36,
Sun,Nov 28 1999,1:02,@,Buffalo Bills,W 17-7,W -4,,New England Patriots,U 38,
Sun,Nov 28 1999,1:02,,Tennessee Titans,W 33-21,W -10.5,@,Cleveland Browns,O 35.5,
Sun,Nov 28 1999,1:02,@,St Louis Rams,W 43-12,W -14,,New Orleans Saints,O 47,
Sun,Nov 28 1999,1:03,@,New York Giants,L 24-34,L -4.5,,Arizona Cardinals,O 34.5,
Sun,Nov 28 1999,1:10,@,Minnesota Vikings,W 35-27,L -13.5,,San Diego Chargers,O 43.5,
Sun,Nov 28 1999,4:07,@,Seattle Seahawks,L 3-16,L -6,,Tampa Bay Buccaneers,U 37,
Sun,Nov 28 1999,4:16,@,Oakland Raiders,L 34-37,L -3.5,,Kansas City Chiefs,O 37,
Sun,Nov 28 1999,5:15,@,Indianapolis Colts,W 13-6,P -7,,New York Jets,U 44,
Mon,Nov 29 1999,9:08,,Green Bay Packers,W 20-3,W -6,@,San Francisco 49ers,U 40.5,
