Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Oct 10 1999,1:00,@,Minnesota Vikings,L 22-24,L -13,,Chicago Bears,O 43.5,
Sun,Oct 10 1999,1:01,@,Buffalo Bills,W 24-21,L -6.5,,Pittsburgh Steelers,O 38,
Sun,Oct 10 1999,1:01,@,Detroit Lions,L 10-20,L -3.5,,San Diego Chargers,U 40,
Sun,Oct 10 1999,1:01,@,Kansas City Chiefs,W 16-14,L -2.5,,New England Patriots,U 41,
Sun,Oct 10 1999,1:02,,Cincinnati Bengals,W 18-17,L -3,@,Cleveland Browns,U 36,
Sun,Oct 10 1999,1:02,@,St Louis Rams,W 42-20,W -3,,San Francisco 49ers,O 45.5,
Sun,Oct 10 1999,1:03,@,New Orleans Saints,L 17-20,L -3,,Atlanta Falcons,O 35.5,
Sun,Oct 10 1999,1:03,,Dallas Cowboys,L 10-13,L -9.5,@,Philadelphia Eagles,U 37,
Sun,Oct 10 1999,4:06,@,Arizona Cardinals,W 14-3,W -3,,New York Giants,U 37.5,
Sun,Oct 10 1999,4:15,,Miami Dolphins,W 34-31,W -1.5,@,Indianapolis Colts,O 44.5,
Sun,Oct 10 1999,4:15,@,Tennessee Titans,W 14-11,L -7,,Baltimore Ravens,U 38.5,
Sun,Oct 10 1999,4:17,@,Oakland Raiders,L 13-16,L -7,,Denver Broncos,U 38,
Sun,Oct 10 1999,8:22,@,Green Bay Packers,W 26-23,L -6,,Tampa Bay Buccaneers,O 40.5,
Mon,Oct 11 1999,9:07,,Jacksonville Jaguars,W 16-6,W -3,@,New York Jets,U 40,
