Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Jan 2, 2000",1:00,@,Jacksonville Jaguars,W 24-7,W -9,,Cincinnati Bengals,U 39.5,
Sun,"Jan 2, 2000",1:01,@,Kansas City Chiefs,L 38-41 (OT),L -5,,Oakland Raiders,O 39,
Sun,"Jan 2, 2000",1:02,,Indianapolis Colts,L 6-31,L -1.5,@,Buffalo Bills,U 42,
Sun,"Jan 2, 2000",1:02,@,Carolina Panthers,W 45-13,W -8.5,,New Orleans Saints,O 46.5,
Sun,"Jan 2, 2000",1:02,,Tampa Bay Buccaneers,W 20-6,W -3.5,@,Chicago Bears,U 34,
Sun,"Jan 2, 2000",1:02,@,Green Bay Packers,W 49-24,W -7.5,,Arizona Cardinals,O 38,
Sun,"Jan 2, 2000",1:03,,Baltimore Ravens,L 3-20,L -1,@,New England Patriots,U 37.5,
Sun,"Jan 2, 2000",1:03,@,New York Jets,W 19-9,W -1,,Seattle Seahawks,U 38,
Sun,"Jan 2, 2000",1:03,,St Louis Rams,L 31-38,L -8,@,Philadelphia Eagles,O 42,
Sun,"Jan 2, 2000",1:05,@,Minnesota Vikings,W 24-17,P -7,,Detroit Lions,U 48.5,
Sun,"Jan 2, 2000",4:05,@,Dallas Cowboys,W 26-18,W -6.5,,New York Giants,O 37.5,
Sun,"Jan 2, 2000",4:15,@,Denver Broncos,L 6-12,L -7,,San Diego Chargers,U 37.5,
Sun,"Jan 2, 2000",4:15,,Tennessee Titans,W 47-36,W -4,@,Pittsburgh Steelers,O 38,
Sun,"Jan 2, 2000",4:15,@,Washington Redskins,W 21-10,W -3,,Miami Dolphins,U 44,
Mon,"Jan 3, 2000",9:07,@,Atlanta Falcons,W 34-29,L -6.5,,San Francisco 49ers,O 46.5,
