Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Sep 26, 1999",1:00,@,Carolina Panthers,W 27-3,W -7,,Cincinnati Bengals,U 39.5,
Sun,"Sep 26, 1999",1:00,,Atlanta Falcons,L 7-35,L -1.5,@,St Louis Rams,O 40.5,
Sun,"Sep 26, 1999",1:01,@,Baltimore Ravens,W 17-10,L -12,,Cleveland Browns,U 36.5,
Sun,"Sep 26, 1999",1:01,@,Buffalo Bills,W 26-0,W -11.5,,Philadelphia Eagles,U 38,
Sun,"Sep 26, 1999",1:01,@,Kansas City Chiefs,W 31-21,W -3.5,,Detroit Lions,O 39.5,
Sun,"Sep 26, 1999",1:01,@,Pittsburgh Steelers,L 10-29,L -4,,Seattle Seahawks,O 38,
Sun,"Sep 26, 1999",1:01,@,Tampa Bay Buccaneers,W 13-10,W -2.5,,Denver Broncos,U 38,
Sun,"Sep 26, 1999",1:02,,Washington Redskins,W 27-20,W -1,@,New York Jets,O 43.5,
Sun,"Sep 26, 1999",4:05,@,Jacksonville Jaguars,L 19-20,L -9.5,,Tennessee Titans,U 45,
Sun,"Sep 26, 1999",4:05,,Indianapolis Colts,W 27-19,W -1,@,San Diego Chargers,O 44,
Sun,"Sep 26, 1999",4:15,@,Green Bay Packers,W 23-20,W PK,,Minnesota Vikings,U 47.5,
Sun,"Sep 26, 1999",4:16,@,Oakland Raiders,W 24-17,P -7,,Chicago Bears,O 38,
Sun,"Sep 26, 1999",8:23,@,New England Patriots,W 16-14,L -6,,New York Giants,U 43.5,
Mon,"Sep 27, 1999",8:08,,San Francisco 49ers,W 24-10,W -2.5,@,Arizona Cardinals,U 45.5,
