Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Oct 8, 1995",1:00,@,Buffalo Bills,W 29-10,W -9.5,,New York Jets,O 38,
Sun,"Oct 8, 1995",1:00,@,Chicago Bears,W 31-27,L -13.5,,Carolina Panthers,O 36.5,
Sun,"Oct 8, 1995",1:00,@,Dallas Cowboys,W 34-24,W -9.5,,Green Bay Packers,O 42,
Sun,"Oct 8, 1995",1:00,,Pittsburgh Steelers,L 16-20,L -10.5,@,Jacksonville Jaguars,U 36.5,
Sun,"Oct 8, 1995",1:00,@,Minnesota Vikings,W 23-17 (OT),L -10,,Houston Oilers,O 37,
Sun,"Oct 8, 1995",1:00,@,Philadelphia Eagles,W 37-34 (OT),P -3,,Washington Redskins,O 41,
Sun,"Oct 8, 1995",1:00,@,Tampa Bay Buccaneers,W 19-16,L -3.5,,Cincinnati Bengals,U 39,
Sun,"Oct 8, 1995",4:00,,Cleveland Browns,L 20-38,L -1.5,@,Detroit Lions,O 39,
Sun,"Oct 8, 1995",4:00,@,Miami Dolphins,L 24-27 (OT),L -10,,Indianapolis Colts,O 44,
Sun,"Oct 8, 1995",4:00,@,New York Giants,W 27-21 (OT),W -4,,Arizona Cardinals,O 36,
Sun,"Oct 8, 1995",4:00,@,Oakland Raiders,W 34-14,W -9.5,,Seattle Seahawks,O 39,
Sun,"Oct 8, 1995",8:00,@,New England Patriots,L 3-37,L -3.5,,Denver Broncos,U 43,
Mon,"Oct 9, 1995",9:00,@,Kansas City Chiefs,W 29-23 (OT),W -3.5,,San Diego Chargers,O 38,
