Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Nov 23, 1995",12:30,@,Detroit Lions,W 44-38,W -3,,Minnesota Vikings,O 46,
Thu,"Nov 23, 1995",4:00,@,Dallas Cowboys,W 24-12,W -10.5,,Kansas City Chiefs,U 43,
Sun,"Nov 26, 1995",1:00,@,Buffalo Bills,L 25-35,L -6,,New England Patriots,O 38.5,
Sun,"Nov 26, 1995",1:00,@,Green Bay Packers,W 35-13,W -9,,Tampa Bay Buccaneers,O 38.5,
Sun,"Nov 26, 1995",1:00,,Miami Dolphins,L 28-36,L -2.5,@,Indianapolis Colts,O 43,
Sun,"Nov 26, 1995",1:00,,Cincinnati Bengals,W 17-13,W -2.5,@,Jacksonville Jaguars,U 43,
Sun,"Nov 26, 1995",1:00,,Chicago Bears,W 27-24,W -2.5,@,New York Giants,O 42,
Sun,"Nov 26, 1995",1:00,,Philadelphia Eagles,W 14-7,W -3,@,Washington Commanders,U 43,
Sun,"Nov 26, 1995",4:00,,Atlanta Falcons,L 37-40 (OT),L -3.5,@,Arizona Cardinals,O 42,
Sun,"Nov 26, 1995",4:00,,Pittsburgh Steelers,W 20-17,L -6,@,Cleveland Browns,U 39.5,
Sun,"Nov 26, 1995",4:00,,Denver Broncos,L 33-42,L -3,@,Houston Oilers,O 42,
Sun,"Nov 26, 1995",4:00,@,San Francisco 49ers,W 41-13,W -14.5,,St Louis Rams,O 44,
Sun,"Nov 26, 1995",4:00,@,Seattle Seahawks,L 10-16,L -7,,New York Jets,U 41.5,
Sun,"Nov 26, 1995",8:00,@,New Orleans Saints,W 34-26,W -5,,Carolina Panthers,O 40,
Mon,"Nov 27, 1995",9:00,,Oakland Raiders,L 6-12,L -1,@,San Diego Chargers,U 39,
