Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sat,"Dec 12, 1992",12:30,@,Buffalo Bills,W 27-17,L -14,,Denver Broncos,O 37,
Sat,"Dec 12, 1992",4:00,@,Phoenix Cardinals,W 19-0,W -4,,New York Giants,U 37.5,
Sun,"Dec 13, 1992",1:00,,Pittsburgh Steelers,L 6-30,L -3.5,@,Chicago Bears,O 35,
Sun,"Dec 13, 1992",1:00,,Cleveland Browns,L 14-24,L -3.5,@,Detroit Lions,O 37,
Sun,"Dec 13, 1992",1:00,@,Kansas City Chiefs,W 27-20,L -16.5,,New England Patriots,O 33,
Sun,"Dec 13, 1992",1:00,,San Francisco 49ers,W 20-17,L -5,@,Minnesota Vikings,U 41,
Sun,"Dec 13, 1992",1:00,@,New York Jets,L 6-10,L -5.5,,Indianapolis Colts,U 34,
Sun,"Dec 13, 1992",1:00,,Atlanta Falcons,W 35-7,W -1,@,Tampa Bay Buccaneers,O 41,
Sun,"Dec 13, 1992",4:00,,New Orleans Saints,W 37-14,W -5.5,@,Los Angeles Rams,O 38,
Sun,"Dec 13, 1992",4:00,@,San Diego Chargers,W 27-10,W -14,,Cincinnati Bengals,U 38,
Sun,"Dec 13, 1992",4:00,,Philadelphia Eagles,W 20-17 (OT),L -9.5,@,Seattle Seahawks,O 34,
Sun,"Dec 13, 1992",4:00,@,Washington Redskins,W 20-17,P -3,,Dallas Cowboys,U 38,
Sun,"Dec 13, 1992",8:00,@,Houston Oilers,L 14-16,L -7,,Green Bay Packers,U 39,
Mon,"Dec 14, 1992",9:00,@,Miami Dolphins,W 20-7,W -6.5,,Los Angeles Raiders,U 37,
