NFC Wild Card,Sat,"Jan 2, 1993",12:30,@,Minnesota Vikings (3),L 7-24,L -3.5,,Washington Redskins (6),U 37
AFC Wild Card,Sat,"Jan 2, 1993",4:00,@,San Diego Chargers (3),W 17-0,W -3,,Kansas City Chiefs (6),U 37
AFC Wild Card,Sun,"Jan 3, 1993",12:30,@,Buffalo Bills (4),W 41-38 (OT),P -3,,Houston Oilers (5),O 37
NFC Wild Card,Sun,"Jan 3, 1993",4:00,@,New Orleans Saints (4),L 20-36,L -3.5,,Philadelphia Eagles (5),O 35
AFC Divisional,Sat,"Jan 9, 1993",12:30,@,Pittsburgh Steelers (1),L 3-24,L -1.5,,Buffalo Bills (4),U 36
NFC Divisional,Sat,"Jan 9, 1993",4:00,@,San Francisco 49ers (1),W 20-13,L -9.5,,Washington Redskins (6),U 39
NFC Divisional,Sun,"Jan 10, 1993",12:30,@,Dallas Cowboys (2),W 34-10,W -6.5,,Philadelphia Eagles (5),O 38
AFC Divisional,Sun,"Jan 10, 1993",4:00,@,Miami Dolphins (2),W 31-0,W -2,,San Diego Chargers (3),U 37
AFC Championship,Sun,"Jan 17, 1993",12:30,,Buffalo Bills (4),W 29-10,W -2.5,@,Miami Dolphins (2),U 41
NFC Championship,Sun,"Jan 17, 1993",4:00,@,San Francisco 49ers (1),L 20-30,L -4,,Dallas Cowboys (2),O 37
Super Bowl XXVII,Sun,"Jan 31, 1993",6:30,N,Dallas Cowboys (2),W 52-17,W -6.5,,Buffalo Bills (4),O 45
