Round,Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
NFC Wild Card,Sat,Jan 7 2006,4:34,@,Tampa Bay Buccaneers (3),L 10-17,L -2.5,,Washington Redskins (6),U 37.5
AFC Wild Card,Sat,Jan 7 2006,8:08,@,New England Patriots (4),W 28-3,W -8,,Jacksonville Jaguars (5),U 37.5
NFC Wild Card,Sun,Jan 8 2006,1:04,@,New York Giants (4),L 0-23,L -3,,Carolina Panthers (5),U 43.5
AFC Wild Card,Sun,Jan 8 2006,4:36,,Pittsburgh Steelers (6),W 31-17,W -3,@,Cincinnati Bengals (3),O 44
NFC Divisional,Sat,Jan 14 2006,4:35,@,Seattle Seahawks (1),W 20-10,W -9.5,,Washington Redskins (6),U 41
AFC Divisional,Sat,Jan 14 2006,8:16,@,Denver Broncos (2),W 27-13,W -3,,New England Patriots (4),U 44
AFC Divisional,Sun,Jan 15 2006,1:04,@,Indianapolis Colts (1),L 18-21,L -9.5,,Pittsburgh Steelers (6),U 46.5
NFC Divisional,Sun,Jan 15 2006,4:41,@,Chicago Bears (2),L 21-29,L -3,,Carolina Panthers (5),O 31
AFC Championship,Sun,Jan 22 2006,3:08,@,Denver Broncos (2),L 17-34,L -3.5,,Pittsburgh Steelers (6),O 41
NFC Championship,Sun,Jan 22 2006,6:47,@,Seattle Seahawks (1),W 34-14,W -3.5,,Carolina Panthers (5),O 43
Super Bowl XL,Sun,Feb 5 2006,6:27,N,Pittsburgh Steelers (6),W 21-10,W -4,,Seattle Seahawks (1),U 47
