Round,Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
AFC Wild Card,Sat,"Jan 7, 2012",4:35,@,Houston Texans (3),W 31-10,W -4,,Cincinnati Bengals (6),O 38
NFC Wild Card,Sat,"Jan 7, 2012",8:09,@,New Orleans Saints (3),W 45-28,W -10.5,,Detroit Lions (6),O 60
NFC Wild Card,Sun,"Jan 8, 2012",1:06,@,New York Giants (4),W 24-2,W -3,,Atlanta Falcons (5),U 48
AFC Wild Card,Sun,"Jan 8, 2012",4:40,,Pittsburgh Steelers (5),L 23-29 (OT),L -7.5,@,Denver Broncos (4),O 34
NFC Divisional,Sat,"Jan 14, 2012",4:35,,New Orleans Saints (3),L 32-36,L -3.5,@,San Francisco 49ers (2),O 47
AFC Divisional,Sat,"Jan 14, 2012",8:15,@,New England Patriots (1),W 45-10,W -13.5,,Denver Broncos (4),O 50
AFC Divisional,Sun,"Jan 15, 2012",1:05,@,Baltimore Ravens (2),W 20-13,L -8,,Houston Texans (3),U 37.5
NFC Divisional,Sun,"Jan 15, 2012",4:40,@,Green Bay Packers (1),L 20-37,L -8,,New York Giants (4),O 54.5
AFC Championship,Sun,"Jan 22, 2012",3:05,@,New England Patriots (1),W 23-20,L -7,,Baltimore Ravens (2),U 50
NFC Championship,Sun,"Jan 22, 2012",6:41,@,San Francisco 49ers (2),L 17-20 (OT),L -2,,New York Giants (4),U 41.5
Super Bowl XLVI,Sun,"Feb 5, 2012",6:30,N,New England Patriots (1),L 17-21,L -3,,New York Giants (4),U 53
