Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Oct 9 2011,1:02,@,Houston Texans,L 20-25,L -4.5,,Oakland Raiders,U 48.5,
Sun,Oct 9 2011,1:02,@,Indianapolis Colts,L 24-28,L -1.5,,Kansas City Chiefs,O 38,
Sun,Oct 9 2011,1:02,,Cincinnati Bengals,W 30-20,W -2.5,@,Jacksonville Jaguars,O 37,
Sun,Oct 9 2011,1:02,@,Pittsburgh Steelers,W 38-17,W -3,,Tennessee Titans,O 40,
Sun,Oct 9 2011,1:04,,Philadelphia Eagles,L 24-31,L -3,@,Buffalo Bills,O 53,
Sun,Oct 9 2011,1:04,,New Orleans Saints,W 30-27,L -6.5,@,Carolina Panthers,O 51.5,
Sun,Oct 9 2011,1:04,@,New York Giants,L 25-36,L -10,,Seattle Seahawks,O 43.5,
Sun,Oct 9 2011,1:05,@,Minnesota Vikings,W 34-10,W -3.5,,Arizona Cardinals,U 45,
Sun,Oct 9 2011,4:05,@,San Francisco 49ers,W 48-3,W -3,,Tampa Bay Buccaneers,O 41.5,
Sun,Oct 9 2011,4:15,@,New England Patriots,W 30-21,W -7.5,,New York Jets,O 50,
Sun,Oct 9 2011,4:16,,San Diego Chargers,W 29-24,W -3.5,@,Denver Broncos,O 46.5,
Sun,Oct 9 2011,8:30,,Green Bay Packers,W 25-14,W -6.5,@,Atlanta Falcons,U 53,
Mon,Oct 10 2011,8:40,@,Detroit Lions,W 24-13,W -7,,Chicago Bears,U 47,
