Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Sep 25 2011,1:02,@,Carolina Panthers,W 16-10,W -3.5,,Jacksonville Jaguars,U 43.5,
Sun,Sep 25 2011,1:02,@,Cincinnati Bengals,L 8-13,L -1,,San Francisco 49ers,U 38.5,
Sun,Sep 25 2011,1:02,,Miami Dolphins,L 16-17,L -2,@,Cleveland Browns,U 42.5,
Sun,Sep 25 2011,1:02,@,New Orleans Saints,W 40-33,W -4,,Houston Texans,O 51,
Sun,Sep 25 2011,1:02,@,Tennessee Titans,W 17-14,L -7,,Denver Broncos,U 44,
Sun,Sep 25 2011,1:03,,New England Patriots,L 31-34,L -7.5,@,Buffalo Bills,O 54.5,
Sun,Sep 25 2011,1:03,@,Philadelphia Eagles,L 16-29,L -8,,New York Giants,U 46.5,
Sun,Sep 25 2011,1:05,,Detroit Lions,W 26-23 (OT),P -3,@,Minnesota Vikings,O 45,
Sun,Sep 25 2011,4:04,,New York Jets,L 24-34,L -3,@,Oakland Raiders,O 41,
Sun,Sep 25 2011,4:05,@,San Diego Chargers,W 20-17,L -14.5,,Kansas City Chiefs,U 44.5,
Sun,Sep 25 2011,4:05,,Baltimore Ravens,W 37-7,W -6,@,St Louis Rams,O 42,
Sun,Sep 25 2011,4:15,,Green Bay Packers,W 27-17,W -5,@,Chicago Bears,U 45.5,
Sun,Sep 25 2011,4:15,,Arizona Cardinals,L 10-13,L -3,@,Seattle Seahawks,U 43,
Sun,Sep 25 2011,4:16,@,Tampa Bay Buccaneers,W 16-13,W -1,,Atlanta Falcons,U 45,
Sun,Sep 25 2011,8:30,,Pittsburgh Steelers,W 23-20,L -11,@,Indianapolis Colts,O 39.5,
Mon,Sep 26 2011,8:41,@,Dallas Cowboys,W 18-16,L -3.5,,Washington Redskins,U 45,
