Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Nov 28 1991,12:30,@,Detroit Lions,W 16-6,W -3,,Chicago Bears,U 41,
Thu,Nov 28 1991,4:00,@,Dallas Cowboys,W 20-10,W -6,,Pittsburgh Steelers,U 40,
Sun,Dec 1 1991,1:00,@,Atlanta Falcons,W 35-31,L -8.5,,Green Bay Packers,O 38,
Sun,Dec 1 1991,1:00,@,Buffalo Bills,W 24-13,W -9,,New York Jets,U 46,
Sun,Dec 1 1991,1:00,,Cleveland Browns,W 31-0,W -4.5,@,Indianapolis Colts,U 38,
Sun,Dec 1 1991,1:00,@,Miami Dolphins,W 33-14,W -9,,Tampa Bay Buccaneers,O 38,
Sun,Dec 1 1991,4:00,,New York Giants,L 24-27,L -7,@,Cincinnati Bengals,O 39,
Sun,Dec 1 1991,4:00,@,Denver Broncos,W 20-3,W -6.5,,New England Patriots,U 33,
Sun,Dec 1 1991,4:00,,Washington Redskins,W 27-6,W -12,@,Los Angeles Rams,U 46,
Sun,Dec 1 1991,4:00,@,San Francisco 49ers,W 38-24,W -4,,New Orleans Saints,O 34,
Sun,Dec 1 1991,4:00,@,Seattle Seahawks,L 6-19,L -1.5,,Kansas City Chiefs,U 36,
Sun,Dec 1 1991,8:00,,Los Angeles Raiders,W 9-7,L -5.5,@,San Diego Chargers,U 36,
Mon,Dec 2 1991,9:00,@,Houston Oilers,L 6-13,L -6.5,,Philadelphia Eagles,U 42,
