Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sat,Dec 21 1991,12:30,,Houston Oilers,L 20-24,L -3,@,New York Giants,O 37,
Sat,Dec 21 1991,4:00,@,Minnesota Vikings,L 7-27,L -6,,Green Bay Packers,U 44,
Sun,Dec 22 1991,1:00,@,Buffalo Bills,L 14-17 (OT),L -5,,Detroit Lions,U 41,
Sun,Dec 22 1991,1:00,,New England Patriots,L 7-29,L -2,@,Cincinnati Bengals,U 38,
Sun,Dec 22 1991,1:00,@,Dallas Cowboys,W 31-27,W -3,,Atlanta Falcons,O 39,
Sun,Dec 22 1991,1:00,@,Miami Dolphins,L 20-23 (OT),L -5.5,,New York Jets,U 44,
Sun,Dec 22 1991,1:00,@,Pittsburgh Steelers,W 17-10,W -3,,Cleveland Browns,U 37,
Sun,Dec 22 1991,1:00,@,Tampa Bay Buccaneers,W 17-3,W -5.5,,Indianapolis Colts,U 35,
Sun,Dec 22 1991,4:00,@,Los Angeles Raiders,L 21-27,L -2.5,,Kansas City Chiefs,O 35,
Sun,Dec 22 1991,4:00,,Washington Redskins,L 22-24,L -3,@,Philadelphia Eagles,O 35,
Sun,Dec 22 1991,4:00,,New Orleans Saints,W 27-3,W -7,@,Phoenix Cardinals,U 35,
Sun,Dec 22 1991,4:00,,Denver Broncos,W 17-14,P -3,@,San Diego Chargers,U 37,
Sun,Dec 22 1991,8:00,@,Seattle Seahawks,W 23-9,W -6,,Los Angeles Rams,U 39,
Mon,Dec 23 1991,9:00,@,San Francisco 49ers,W 52-14,W -5,,Chicago Bears,O 39,
