Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Sun,"Oct 6, 1991",1:00,,Washington Redskins,W 20-7,W -3,@,Chicago Bears,U 37,
Sun,"Oct 6, 1991",1:00,@,Cincinnati Bengals,L 7-13,L -3.5,,Seattle Seahawks,U 40,
Sun,"Oct 6, 1991",1:00,,New York Jets,W 17-14,W -1.5,@,Cleveland Browns,U 34,
Sun,"Oct 6, 1991",1:00,@,Detroit Lions,W 24-20,W -3,,Minnesota Vikings,O 40,
Sun,"Oct 6, 1991",1:00,,Dallas Cowboys,W 20-17,W -2.5,@,Green Bay Packers,O 35,at Milwaukee
Sun,"Oct 6, 1991",1:00,@,Houston Oilers,W 42-14,W -7.5,,Denver Broncos,O 44,
Sun,"Oct 6, 1991",1:00,,Miami Dolphins,W 20-10,W -6.5,@,New England Patriots,U 35,
Sun,"Oct 6, 1991",1:00,,Philadelphia Eagles,L 13-14,L -3,@,Tampa Bay Buccaneers,U 32,
Sun,"Oct 6, 1991",4:00,@,Los Angeles Raiders,L 13-21,L -7.5,,San Diego Chargers,P 34,
Sun,"Oct 6, 1991",4:00,@,New York Giants,W 20-9,W -9.5,,Phoenix Cardinals,U 34,
Sun,"Oct 6, 1991",8:00,,Pittsburgh Steelers,W 21-3,W -6,@,Indianapolis Colts,U 36,
Mon,"Oct 7, 1991",9:00,,Buffalo Bills,L 6-33,L -3,@,Kansas City Chiefs,U 40,
