Baltimore Colts,5-7 (41.7%),4-8  (33.3%),1-4 (20.0%),0-5-0  (0.0%),4-2 (66.7%),3-3-0 (50.0%),1-2 (33.3%),0-3-0 (0.0%),--
Chicago Bears,9-2-1 (81.8%),7-5  (58.3%),9-2 (81.8%),7-5-0  (58.3%),6-0 (100.%),4-2-0 (66.7%),6-0 (100.%),4-2-0 (66.7%),--
Chicago Cardinals,7-5 (58.3%),8-4  (66.7%),3-3 (50.0%),3-3-0  (50.0%),4-2 (66.7%),4-2-0 (66.7%),2-2 (50.0%),2-2-0 (50.0%),--
Cleveland Browns,5-7 (41.7%),3-8-1  (27.3%),2-5 (28.6%),0-7-0  (0.0%),1-5 (16.7%),0-5-1 (0.0%),1-3 (25.0%),0-4-0 (0.0%),--
Detroit Lions,9-3 (75.0%),6-6  (50.0%),5-2 (71.4%),2-5-0  (28.6%),5-1 (83.3%),3-3-0 (50.0%),4-1 (80.0%),2-3-0 (40.0%),--
Green Bay Packers,4-8 (33.3%),4-8  (33.3%),0-4 (0.0%),0-4-0  (0.0%),2-4 (33.3%),2-4-0 (33.3%),0-3 (0.0%),0-3-0 (0.0%),--
Los Angeles Rams,4-8 (33.3%),6-6  (50.0%),3-3 (50.0%),3-3-0  (50.0%),4-2 (66.7%),4-2-0 (66.7%),3-0 (100.%),3-0-0 (100.%),--
New York Giants,8-3-1 (72.7%),8-4  (66.7%),7-3 (70.0%),6-4-0  (60.0%),4-1 (80.0%),5-1-0 (83.3%),4-1 (80.0%),4-1-0 (80.0%),--
Philadelphia Eagles,3-8-1 (27.3%),6-6  (50.0%),2-1 (66.7%),2-1-0  (66.7%),2-3 (40.0%),3-3-0 (50.0%),2-1 (66.7%),2-1-0 (66.7%),--
Pittsburgh Steelers,5-7 (41.7%),7-5  (58.3%),0-1 (0.0%),0-1-0  (0.0%),3-3 (50.0%),5-1-0 (83.3%),0-1 (0.0%),0-1-0 (0.0%),--
San Francisco 49ers,5-6-1 (45.5%),7-5  (58.3%),1-0 (100.%),1-1-0  (50.0%),3-3 (50.0%),4-2-0 (66.7%),1-0 (100.%),1-0-0 (100.%),--
Washington Redskins,6-6 (50.0%),5-6-1  (45.5%),2-2 (50.0%),0-3-1  (0.0%),4-2 (66.7%),3-3-0 (50.0%),1-1 (50.0%),0-2-0 (0.0%),--
