Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Sep 7 2023,8:20,@,Kansas City Chiefs,L 20-21,L -4,,Detroit Lions,U 53.5,
Sun,Sep 10 2023,1:00,@,Atlanta Falcons,W 24-10,W -3,,Carolina Panthers,U 43,
Sun,Sep 10 2023,1:00,@,Baltimore Ravens,W 25-9,W -9,,Houston Texans,U 44.5,
Sun,Sep 10 2023,1:00,@,Chicago Bears,L 20-38,L -2.5,,Green Bay Packers,O 44.5,
Sun,Sep 10 2023,1:00,,Cincinnati Bengals,L 3-24,L -1,@,Cleveland Browns,U 46.5,
Sun,Sep 10 2023,1:00,,Jacksonville Jaguars,W 31-21,W -3.5,@,Indianapolis Colts,O 43.5,
Sun,Sep 10 2023,1:00,@,Minnesota Vikings,L 17-20,L -4,,Tampa Bay Buccaneers,U 45.5,
Sun,Sep 10 2023,1:00,@,New Orleans Saints,W 16-15,L -3.5,,Tennessee Titans,U 41.5,
Sun,Sep 10 2023,1:00,,San Francisco 49ers,W 30-7,W -2.5,@,Pittsburgh Steelers,U 40.5,
Sun,Sep 10 2023,1:00,@,Washington Commanders,W 20-16,L -6,,Arizona Cardinals,U 40.5,
Sun,Sep 10 2023,4:25,@,Denver Broncos,L 16-17,L -2.5,,Las Vegas Raiders,U 44.5,
Sun,Sep 10 2023,4:25,@,Los Angeles Chargers,L 34-36,L -2.5,,Miami Dolphins,O 49.5,
Sun,Sep 10 2023,4:25,,Philadelphia Eagles,W 25-20,W -4,@,New England Patriots,U 45.5,
Sun,Sep 10 2023,4:25,@,Seattle Seahawks,L 13-30,L -5.5,,Los Angeles Rams,U 46.5,
Sun,Sep 10 2023,8:20,,Dallas Cowboys,W 40-0,W -3,@,New York Giants,U 46.5,
Mon,Sep 11 2023,8:15,,Buffalo Bills,L 16-22 (OT),L -1.5,@,New York Jets,U 47.5,
