Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Oct 25, 1981",1:00,@,Atlanta Falcons,L 24-27 (OT),L -8,,New York Giants,O 43,
Sun,"Oct 25, 1981",1:00,@,Buffalo Bills,W 9-7,L -5,,Denver Broncos,U 39,
Sun,"Oct 25, 1981",1:00,@,Cleveland Browns,W 42-28,W -7,,Baltimore Colts,O 46,
Sun,"Oct 25, 1981",1:00,@,Detroit Lions,W 31-27,L -5.5,,Green Bay Packers,O 38,
Sun,"Oct 25, 1981",1:00,@,Philadelphia Eagles,W 20-10,W -9.5,,Tampa Bay Buccaneers,U 37,
Sun,"Oct 25, 1981",1:00,,Minnesota Vikings,L 17-30,L -2.5,@,St Louis Cardinals,U 50,
Sun,"Oct 25, 1981",1:00,,New England Patriots,L 22-24,L -3,@,Washington Redskins,O 44,
Sun,"Oct 25, 1981",2:00,,Cincinnati Bengals,L 7-17,L -6,@,New Orleans Saints,U 41,
Sun,"Oct 25, 1981",4:00,,San Diego Chargers,L 17-20 (OT),L -11,@,Chicago Bears,U 47,
Sun,"Oct 25, 1981",4:00,@,Dallas Cowboys,W 28-27,L -6,,Miami Dolphins,O 42,
Sun,"Oct 25, 1981",4:00,@,New York Jets,L 3-19,L -9,,Seattle Seahawks,U 45,
Sun,"Oct 25, 1981",4:00,@,Oakland Raiders,L 17-28,L -3,,Kansas City Chiefs,O 36,
Sun,"Oct 25, 1981",4:00,@,San Francisco 49ers,W 20-17,W -1,,Los Angeles Rams,U 46,
Mon,"Oct 26, 1981",9:00,@,Pittsburgh Steelers,W 26-13,W -5.5,,Houston Oilers,U 40,
