Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
AFC Wild Card,Sun,"Dec 27, 1981",12:00,@,New York Jets (4),L 27-31,L -3,,Buffalo Bills (5),O 42
NFC Wild Card,Sun,"Dec 27, 1981",3:30,@,Philadelphia Eagles (4),L 21-27,L -7,,New York Giants (5),O 37
NFC Divisional,Sat,"Jan 2, 1982",1:00,@,Dallas Cowboys (2),W 38-0,W -8,,Tampa Bay Buccaneers (3),O 37
AFC Divisional,Sat,"Jan 2, 1982",5:00,,San Diego Chargers (3),W 41-38 (OT),W -2.5,@,Miami Dolphins (2),O 43
AFC Divisional,Sun,"Jan 3, 1982",1:00,@,Cincinnati Bengals (1),W 28-21,W -6,,Buffalo Bills (5),O 41
NFC Divisional,Sun,"Jan 3, 1982",5:00,@,San Francisco 49ers (1),W 38-24,W -6,,New York Giants (5),O 38
AFC Championship,Sun,"Jan 10, 1982",1:00,@,Cincinnati Bengals (1),W 27-7,W -4.5,,San Diego Chargers (3),U 45
NFC Championship,Sun,"Jan 10, 1982",4:30,,Dallas Cowboys (2),L 27-28,L -3,@,San Francisco 49ers (1),O 42
Super Bowl XVI,Sun,"Jan 24, 1982",4:00,N,San Francisco 49ers (1),W 26-21,W -1,,Cincinnati Bengals (1),U 48
