Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Sep 17 1981,8:30,@,Buffalo Bills,L 14-20,L -4,,Philadelphia Eagles,U 38,
Sun,Sep 20 1981,1:00,@,Atlanta Falcons,W 34-17,W -9,,San Francisco 49ers,O 41,
Sun,Sep 20 1981,1:00,@,Cincinnati Bengals,L 17-20,L -1,,Cleveland Browns,U 41,
Sun,Sep 20 1981,1:00,@,Houston Oilers,L 10-16,L -3,,Miami Dolphins,U 37,
Sun,Sep 20 1981,1:00,,Detroit Lions,L 24-26,L -3.5,@,Minnesota Vikings,O 42,
Sun,Sep 20 1981,1:00,@,Pittsburgh Steelers,W 38-10,W -5.5,,New York Jets,O 43,
Sun,Sep 20 1981,1:00,@,St Louis Cardinals,W 40-30,W -3,,Washington Redskins,O 38,
Sun,Sep 20 1981,2:00,@,Chicago Bears,W 28-17,W -3,,Tampa Bay Buccaneers,O 35,
Sun,Sep 20 1981,2:00,,San Diego Chargers,W 42-31,W -4,@,Kansas City Chiefs,O 41,
Sun,Sep 20 1981,4:00,@,Denver Broncos,W 28-10,W -3,,Baltimore Colts,O 36,
Sun,Sep 20 1981,4:00,@,Los Angeles Rams,W 35-23,W -7,,Green Bay Packers,O 38,
Sun,Sep 20 1981,4:00,@,New York Giants,W 20-7,W -3,,New Orleans Saints,U 36,
Sun,Sep 20 1981,4:00,@,Oakland Raiders,W 20-10,W -7,,Seattle Seahawks,U 40,
Mon,Sep 21 1981,9:00,,Dallas Cowboys,W 35-21,W -2,@,New England Patriots,O 42,
