Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Dec 13 1998,1:00,@,Buffalo Bills,W 44-21,W -8.5,,Oakland Raiders,O 38,
Sun,Dec 13 1998,1:00,@,Carolina Panthers,L 25-28,L -3,,Washington Redskins,O 45.5,
Sun,Dec 13 1998,1:00,@,Green Bay Packers,W 26-20,L -13.5,,Chicago Bears,O 42,
Sun,Dec 13 1998,1:00,@,Indianapolis Colts,W 39-26,W -4,,Cincinnati Bengals,O 47,
Sun,Dec 13 1998,1:00,@,Jacksonville Jaguars,L 13-16,L -4,,Tennessee Oilers,U 40,
Sun,Dec 13 1998,1:00,,Atlanta Falcons,W 27-17,W -4,@,New Orleans Saints,O 41.5,
Sun,Dec 13 1998,1:00,,Denver Broncos,L 16-20,L -13,@,New York Giants,U 45,
Sun,Dec 13 1998,1:00,,Arizona Cardinals,W 20-17 (OT),P -3,@,Philadelphia Eagles,U 38,
Sun,Dec 13 1998,1:00,,New England Patriots,L 18-32,L -7,@,St Louis Rams,O 40,
Sun,Dec 13 1998,1:00,@,Tampa Bay Buccaneers,W 16-3,W -3,,Pittsburgh Steelers,U 37.5,
Sun,Dec 13 1998,4:05,@,Seattle Seahawks,W 38-17,W -7,,San Diego Chargers,O 40.5,
Sun,Dec 13 1998,4:15,,Minnesota Vikings,W 38-28,P -10,@,Baltimore Ravens,O 46,
Sun,Dec 13 1998,4:15,@,Kansas City Chiefs,W 20-17,W -2.5,,Dallas Cowboys,U 44,
Sun,Dec 13 1998,8:20,@,Miami Dolphins,L 16-21,L -3,,New York Jets,U 40,
Mon,Dec 14 1998,8:20,@,San Francisco 49ers,W 35-13,W -10,,Detroit Lions,P 48,
