Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Oct 15, 1998",8:15,,Green Bay Packers,L 20-27,L -7,@,Detroit Lions,O 44,
Sun,"Oct 18, 1998",1:00,@,Atlanta Falcons,W 31-23,W -7,,New Orleans Saints,O 37.5,
Sun,"Oct 18, 1998",1:00,,Jacksonville Jaguars,L 16-17,L -3,@,Buffalo Bills,U 42.5,
Sun,"Oct 18, 1998",1:00,@,Minnesota Vikings,W 41-7,W -13.5,,Washington Commanders,O 46,
Sun,"Oct 18, 1998",1:00,@,New York Giants,W 34-7,W -2.5,,Arizona Cardinals,O 37,
Sun,"Oct 18, 1998",1:00,@,Pittsburgh Steelers,W 16-6,W -6,,Baltimore Ravens,U 37,
Sun,"Oct 18, 1998",1:00,@,Tampa Bay Buccaneers,W 16-13,L -7,,Carolina Panthers,U 37,
Sun,"Oct 18, 1998",1:00,@,Tennessee Oilers,W 44-14,W -3,,Cincinnati Bengals,O 39.5,
Sun,"Oct 18, 1998",4:05,@,San Francisco 49ers,W 34-31,L -18,,Indianapolis Colts,O 44.5,
Sun,"Oct 18, 1998",4:15,,Dallas Cowboys,L 12-13,L -3,@,Chicago Bears,U 40.5,
Sun,"Oct 18, 1998",4:15,@,Miami Dolphins,W 14-0,W -7,,St Louis Rams,U 39.5,
Sun,"Oct 18, 1998",4:15,@,San Diego Chargers,W 13-10,P -3,,Philadelphia Eagles,U 34,
Mon,"Oct 19, 1998",8:20,@,New England Patriots,L 14-24,L -6.5,,New York Jets,U 43.5,
