Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Nov 22 1998,1:00,@,Atlanta Falcons,W 20-13,L -12,,Chicago Bears,U 41.5,
Sun,Nov 22 1998,1:00,@,Buffalo Bills,W 34-11,W -7,,Indianapolis Colts,O 39.5,
Sun,Nov 22 1998,1:00,@,Dallas Cowboys,W 30-22,W -5.5,,Seattle Seahawks,O 40,
Sun,Nov 22 1998,1:00,@,Minnesota Vikings,W 28-14,W -3,,Green Bay Packers,U 49.5,
Sun,Nov 22 1998,1:00,@,New York Giants,W 20-0,W -5.5,,Philadelphia Eagles,U 33.5,
Sun,Nov 22 1998,1:00,@,Pittsburgh Steelers,W 30-15,W -2.5,,Jacksonville Jaguars,O 41,
Sun,Nov 22 1998,1:00,@,Tampa Bay Buccaneers,L 25-28,L -6,,Detroit Lions,O 36,
Sun,Nov 22 1998,1:01,@,Washington Redskins,L 42-45,L -1,,Arizona Cardinals,O 41,
Sun,Nov 22 1998,4:05,@,St Louis Rams,L 20-24,L -1.5,,Carolina Panthers,O 40,
Sun,Nov 22 1998,4:15,@,Cincinnati Bengals,L 13-20,L -1.5,,Baltimore Ravens,U 37,
Sun,Nov 22 1998,4:15,@,Denver Broncos,W 40-14,W -11,,Oakland Raiders,O 44,
Sun,Nov 22 1998,4:15,,Kansas City Chiefs,L 37-38,L -3,@,San Diego Chargers,O 33.5,
Sun,Nov 22 1998,4:15,@,Tennessee Oilers,L 3-24,L -2.5,,New York Jets,U 42.5,
Sun,Nov 22 1998,8:20,@,San Francisco 49ers,W 31-20,L -12.5,,New Orleans Saints,O 44,
Mon,Nov 23 1998,8:20,@,New England Patriots,W 26-23,P -3,,Miami Dolphins,O 36.5,
