Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Oct 11 1998,1:00,@,Baltimore Ravens,L 8-12,L -3.5,,Tennessee Oilers,U 41,
Sun,Oct 11 1998,1:00,,Pittsburgh Steelers,L 20-25,L -2.5,@,Cincinnati Bengals,O 40.5,
Sun,Oct 11 1998,1:00,@,Dallas Cowboys,W 27-20,P -7,,Carolina Panthers,O 39,
Sun,Oct 11 1998,1:00,,Buffalo Bills,W 31-24,W -3,@,Indianapolis Colts,O 37,
Sun,Oct 11 1998,1:00,@,New England Patriots,W 40-10,W -3,,Kansas City Chiefs,O 37.5,
Sun,Oct 11 1998,1:00,,San Francisco 49ers,W 31-0,W -10.5,@,New Orleans Saints,U 43,
Sun,Oct 11 1998,1:00,,Washington Redskins,L 12-17,L -2.5,@,Philadelphia Eagles,U 39,
Sun,Oct 11 1998,4:05,@,Arizona Cardinals,W 20-7,W -3,,Chicago Bears,U 42.5,
Sun,Oct 11 1998,4:15,@,Oakland Raiders,W 7-6,L -5,,San Diego Chargers,U 36.5,
Sun,Oct 11 1998,4:15,,Denver Broncos,W 21-16,L -6.5,@,Seattle Seahawks,U 45,
Sun,Oct 11 1998,4:15,,New York Jets,L 10-30,L -3,@,St Louis Rams,U 43,
Sun,Oct 11 1998,8:20,@,New York Giants,L 20-34,L -2.5,,Atlanta Falcons,O 37.5,
Mon,Oct 12 1998,8:20,@,Jacksonville Jaguars,W 28-21,W -6.5,,Miami Dolphins,O 40,
