Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Oct 17 1976,1:00,,Cleveland Browns,W 20-17,L -4.5,@,Atlanta Falcons,,
Sun,Oct 17 1976,1:00,,Baltimore Colts,W 31-13,W -7.5,@,Buffalo Bills,,
Sun,Oct 17 1976,1:00,@,Miami Dolphins,L 17-20 (OT),L -12.5,,Kansas City Chiefs,,
Sun,Oct 17 1976,1:00,,Cincinnati Bengals,L 6-23,L -4,@,Pittsburgh Steelers,,
Sun,Oct 17 1976,1:00,@,Tampa Bay Buccaneers,L 10-13,L PK,,Seattle Seahawks,,
Sun,Oct 17 1976,1:00,@,Washington Redskins,W 20-7,W -4,,Detroit Lions,,
Sun,Oct 17 1976,2:00,@,Green Bay Packers,W 28-13,W -2,,Philadelphia Eagles,,
Sun,Oct 17 1976,2:00,@,Minnesota Vikings,W 24-7,W -10.5,,New York Giants,,
Sun,Oct 17 1976,4:00,,Oakland Raiders,W 17-10,W -3,@,Denver Broncos,,
Sun,Oct 17 1976,4:00,@,Los Angeles Rams,W 20-12,W -7.5,,Chicago Bears,,
Sun,Oct 17 1976,4:00,,Houston Oilers,L 27-30,L -3.5,@,San Diego Chargers,,
Sun,Oct 17 1976,4:00,@,San Francisco 49ers,W 33-3,W -8,,New Orleans Saints,,
Sun,Oct 17 1976,4:00,,Dallas Cowboys,L 17-21,L -4,@,St Louis Cardinals,,
Mon,Oct 18 1976,9:00,@,New England Patriots,W 41-7,W -11,,New York Jets,,
