Sat,"Dec 4, 1976",1:00,,Baltimore Colts,L 17-24,L -2,@,St Louis Cardinals,,
Sat,"Dec 4, 1976",3:30,@,Los Angeles Rams,W 59-0,W -14,,Atlanta Falcons,,
Sun,"Dec 5, 1976",1:00,@,Cleveland Browns,W 13-10,L -6,,Houston Oilers,,
Sun,"Dec 5, 1976",1:00,@,New England Patriots,W 27-6,W -14,,New Orleans Saints,,
Sun,"Dec 5, 1976",1:00,,Detroit Lions,L 10-24,L -5,@,New York Giants,,
Sun,"Dec 5, 1976",1:00,,Washington Redskins,W 37-16,W -11,@,New York Jets,,
Sun,"Dec 5, 1976",1:00,,Dallas Cowboys,W 26-7,W -11,@,Philadelphia Eagles,,
Sun,"Dec 5, 1976",1:00,@,Pittsburgh Steelers,W 42-0,W -27,,Tampa Bay Buccaneers,,
Sun,"Dec 5, 1976",2:00,@,Minnesota Vikings,W 20-9,L -11.5,,Green Bay Packers,,
Sun,"Dec 5, 1976",4:00,@,Denver Broncos,W 17-16,L -4.5,,Kansas City Chiefs,,
Sun,"Dec 5, 1976",4:00,@,Miami Dolphins,W 45-27,W -7.5,,Buffalo Bills,,
Sun,"Dec 5, 1976",4:00,@,San Diego Chargers,W 13-7 (OT),W PK,,San Francisco 49ers,,
Sun,"Dec 5, 1976",4:00,,Chicago Bears,W 34-7,W -10.5,@,Seattle Seahawks,,
Mon,"Dec 6, 1976",9:00,@,Oakland Raiders,W 35-20,W -1.5,,Cincinnati Bengals,,
