Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,"Nov 21, 1976",1:00,,Dallas Cowboys,L 10-17,L -12,@,Atlanta Falcons,,
Sun,"Nov 21, 1976",1:00,@,Buffalo Bills,L 13-34,L -4,,San Diego Chargers,,
Sun,"Nov 21, 1976",1:00,,New England Patriots,W 38-24,W -10.5,@,New York Jets,,
Sun,"Nov 21, 1976",1:00,,Oakland Raiders,W 26-7,W -9,@,Philadelphia Eagles,,
Sun,"Nov 21, 1976",1:00,@,Pittsburgh Steelers,W 32-16,W -15.5,,Houston Oilers,,
Sun,"Nov 21, 1976",1:00,,Cleveland Browns,W 24-7,W -14,@,Tampa Bay Buccaneers,,
Sun,"Nov 21, 1976",2:00,,Chicago Bears,L 10-14,L -1,@,Detroit Lions,,
Sun,"Nov 21, 1976",2:00,,Minnesota Vikings,W 17-10,L -11,@,Green Bay Packers,,at Milwaukee
Sun,"Nov 21, 1976",2:00,,Cincinnati Bengals,W 27-24,L -11,@,Kansas City Chiefs,,
Sun,"Nov 21, 1976",4:00,@,Denver Broncos,W 14-13,L -10.5,,New York Giants,,
Sun,"Nov 21, 1976",4:00,,Los Angeles Rams,W 23-3,W -3.5,@,San Francisco 49ers,,
Sun,"Nov 21, 1976",4:00,,New Orleans Saints,W 51-27,W -1,@,Seattle Seahawks,,
Sun,"Nov 21, 1976",4:00,@,St Louis Cardinals,L 10-16,L -7.5,,Washington Redskins,,
Mon,"Nov 22, 1976",9:00,,Baltimore Colts,W 17-16,L -6,@,Miami Dolphins,,
