Thu,"Nov 25, 1976",12:30,@,Detroit Lions,W 27-14,W -8.5,,Buffalo Bills,,
Thu,"Nov 25, 1976",3:30,@,Dallas Cowboys,W 19-14,P -5,,St Louis Cardinals,,
Sun,"Nov 28, 1976",1:00,@,Cleveland Browns,W 17-13,W -3.5,,Miami Dolphins,,
Sun,"Nov 28, 1976",1:00,@,New England Patriots,W 38-14,W -4,,Denver Broncos,,
Sun,"Nov 28, 1976",1:00,@,New York Giants,W 28-16,W -9,,Seattle Seahawks,,
Sun,"Nov 28, 1976",1:00,@,Washington Redskins,W 24-0,W -10.5,,Philadelphia Eagles,,
Sun,"Nov 28, 1976",2:00,@,Baltimore Colts,W 33-16,L -19,,New York Jets,,
Sun,"Nov 28, 1976",2:00,,Chicago Bears,W 16-10,W -4.5,@,Green Bay Packers,,
Sun,"Nov 28, 1976",2:00,@,Houston Oilers,W 20-14,W -5,,Atlanta Falcons,,
Sun,"Nov 28, 1976",4:00,,Pittsburgh Steelers,W 7-3,W -3,@,Cincinnati Bengals,,
Sun,"Nov 28, 1976",4:00,@,Los Angeles Rams,W 33-14,W -14.5,,New Orleans Saints,,
Sun,"Nov 28, 1976",4:00,@,Oakland Raiders,W 49-16,W -22,,Tampa Bay Buccaneers,,
Sun,"Nov 28, 1976",4:00,@,San Diego Chargers,L 20-23,L -4.5,,Kansas City Chiefs,,
Mon,"Nov 29, 1976",9:00,,Minnesota Vikings,L 16-20,L -6,@,San Francisco 49ers,,
