Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Nov 28, 1974",12:30,@,Detroit Lions,L 27-31,L -3.5,,Denver Broncos,,
Thu,"Nov 28, 1974",2:45,@,Dallas Cowboys,W 24-23,W PK,,Washington Commanders,,
Sun,"Dec 1, 1974",1:00,@,Buffalo Bills,W 6-0,L -12.5,,Baltimore Colts,,
Sun,"Dec 1, 1974",1:00,,San Francisco 49ers,L 0-7,L -2,@,Cleveland Browns,,
Sun,"Dec 1, 1974",1:00,@,New York Jets,W 27-14,W -8.5,,San Diego Chargers,,
Sun,"Dec 1, 1974",1:00,,Green Bay Packers,L 14-36,L -7.5,@,Philadelphia Eagles,,
Sun,"Dec 1, 1974",1:00,@,Pittsburgh Steelers,L 10-13,L -11,,Houston Oilers,,
Sun,"Dec 1, 1974",2:00,,New York Giants,L 13-16,L -7,@,Chicago Bears,,
Sun,"Dec 1, 1974",2:00,@,Minnesota Vikings,W 29-9,W -14,,New Orleans Saints,,
Sun,"Dec 1, 1974",2:00,@,St Louis Cardinals,L 13-17,L -10.5,,Kansas City Chiefs,,
Sun,"Dec 1, 1974",4:00,,Los Angeles Rams,W 30-7,W -9.5,@,Atlanta Falcons,,
Sun,"Dec 1, 1974",4:00,@,Oakland Raiders,W 41-26,W -7.5,,New England Patriots,,
Mon,"Dec 2, 1974",9:00,@,Miami Dolphins,W 24-3,W -6.5,,Cincinnati Bengals,,
