Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Sep 15 1974,1:00,@,Cincinnati Bengals,W 33-7,W -7,,Cleveland Browns,,
Sun,Sep 15 1974,1:00,,Miami Dolphins,L 24-34,L -14,@,New England Patriots,,
Sun,Sep 15 1974,1:00,,Washington Redskins,W 13-10,L -7,@,New York Giants,,
Sun,Sep 15 1974,1:00,@,Pittsburgh Steelers,W 30-0,W -17,,Baltimore Colts,,
Sun,Sep 15 1974,2:00,,Detroit Lions,L 9-17,L -8.5,@,Chicago Bears,,
Sun,Sep 15 1974,2:00,,Minnesota Vikings,W 32-17,W -7,@,Green Bay Packers,,
Sun,Sep 15 1974,2:00,@,Houston Oilers,W 21-14,W -5.5,,San Diego Chargers,,
Sun,Sep 15 1974,2:00,@,New Orleans Saints,L 13-17,L -5,,San Francisco 49ers,,
Sun,Sep 15 1974,2:00,,Philadelphia Eagles,L 3-7,L -1.5,@,St Louis Cardinals,,
Sun,Sep 15 1974,4:00,,Dallas Cowboys,W 24-0,W -1,@,Atlanta Falcons,,
Sun,Sep 15 1974,4:00,,Los Angeles Rams,W 17-10,L -7.5,@,Denver Broncos,,
Sun,Sep 15 1974,4:00,@,Kansas City Chiefs,W 24-16,W -5.5,,New York Jets,,
Mon,Sep 16 1974,9:00,,Oakland Raiders,L 20-21,L -5,@,Buffalo Bills,,
