Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sat,"Dec 14, 1974",1:00,@,Pittsburgh Steelers,W 27-3,W -10,,Cincinnati Bengals,,
Sat,"Dec 14, 1974",3:45,,Minnesota Vikings,W 35-15,W -4.5,@,Kansas City Chiefs,,
Sat,"Dec 14, 1974",9:00,@,Oakland Raiders,W 27-23,P -4,,Dallas Cowboys,,
Sun,"Dec 15, 1974",1:00,,Green Bay Packers,L 3-10,L -6.5,@,Atlanta Falcons,,
Sun,"Dec 15, 1974",1:00,@,Miami Dolphins,W 34-27,L -7.5,,New England Patriots,,
Sun,"Dec 15, 1974",1:00,@,Philadelphia Eagles,W 28-17,W -1.5,,Detroit Lions,,
Sun,"Dec 15, 1974",1:00,@,Washington Redskins,W 42-0,W -10.5,,Chicago Bears,,
Sun,"Dec 15, 1974",2:00,,New York Jets,W 45-38,W -5.5,@,Baltimore Colts,,
Sun,"Dec 15, 1974",2:00,@,Houston Oilers,W 28-24,L -6.5,,Cleveland Browns,,
Sun,"Dec 15, 1974",2:00,@,St Louis Cardinals,W 26-14,W -7.5,,New York Giants,,
Sun,"Dec 15, 1974",4:00,@,Los Angeles Rams,W 19-14,L -6,,Buffalo Bills,,
Sun,"Dec 15, 1974",4:00,,Denver Broncos,L 0-17,L -7,@,San Diego Chargers,,
Sun,"Dec 15, 1974",4:00,@,San Francisco 49ers,W 35-21,W -7.5,,New Orleans Saints,,
