Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,"Nov 3, 1985",1:00,,Washington Redskins,W 44-10,W -6,@,Atlanta Falcons,O 42,
Sun,"Nov 3, 1985",1:00,,Cincinnati Bengals,W 23-17,W -3.5,@,Buffalo Bills,U 46,
Sun,"Nov 3, 1985",1:00,,Chicago Bears,W 16-10,L -9,@,Green Bay Packers,U 41.5,
Sun,"Nov 3, 1985",1:00,@,Houston Oilers,W 23-20,W -1,,Kansas City Chiefs,O 39,
Sun,"Nov 3, 1985",1:00,@,Minnesota Vikings,W 16-13,L -3.5,,Detroit Lions,U 43,
Sun,"Nov 3, 1985",1:00,@,New England Patriots,W 17-13,W PK,,Miami Dolphins,U 46.5,
Sun,"Nov 3, 1985",1:00,@,New York Giants,W 22-20,L -12,,Tampa Bay Buccaneers,U 46,
Sun,"Nov 3, 1985",1:00,@,Pittsburgh Steelers,W 10-9,L -4,,Cleveland Browns,U 36.5,
Sun,"Nov 3, 1985",4:00,,New York Jets,W 35-17,W -3.5,@,Indianapolis Colts,O 39,
Sun,"Nov 3, 1985",4:00,@,Los Angeles Rams,W 28-10,W -7.5,,New Orleans Saints,O 37,
Sun,"Nov 3, 1985",4:00,,Denver Broncos,L 10-30,L -2,@,San Diego Chargers,U 49,
Sun,"Nov 3, 1985",4:00,@,San Francisco 49ers,W 24-13,W -9,,Philadelphia Eagles,U 38,
Sun,"Nov 3, 1985",4:00,@,Seattle Seahawks,W 33-3,W -1,,Los Angeles Raiders,U 42.5,
Mon,"Nov 4, 1985",9:00,,Dallas Cowboys,L 10-21,L -3.5,@,St Louis Cardinals,U 43,
