Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Sep 29 1985,1:00,,Minnesota Vikings,W 27-20,W -3,@,Buffalo Bills,O 41,
Sun,Sep 29 1985,1:00,@,Chicago Bears,W 45-10,W -6,,Washington Redskins,O 41.5,
Sun,Sep 29 1985,1:00,@,Detroit Lions,W 30-9,W -4,,Tampa Bay Buccaneers,U 42,
Sun,Sep 29 1985,1:00,,Dallas Cowboys,W 17-10,W -5,@,Houston Oilers,U 41,
Sun,Sep 29 1985,1:00,,Seattle Seahawks,L 7-28,L -2,@,Kansas City Chiefs,U 47,
Sun,Sep 29 1985,1:00,@,New England Patriots,L 20-35,L -1,,Los Angeles Raiders,O 44,
Sun,Sep 29 1985,1:00,,New York Giants,W 16-10 (OT),W -5,@,Philadelphia Eagles,U 35,
Sun,Sep 29 1985,1:00,@,St Louis Cardinals,W 43-28,W -7.5,,Green Bay Packers,O 48,
Sun,Sep 29 1985,4:00,,Miami Dolphins,W 30-26,W -1,@,Denver Broncos,O 47,
Sun,Sep 29 1985,4:00,@,Los Angeles Rams,W 17-6,W -10,,Atlanta Falcons,U 45,
Sun,Sep 29 1985,4:00,@,New York Jets,W 25-20,L -10,,Indianapolis Colts,O 39,
Sun,Sep 29 1985,4:00,@,San Diego Chargers,L 7-21,L -4,,Cleveland Browns,U 48,
Sun,Sep 29 1985,4:00,@,San Francisco 49ers,L 17-20,L -16,,New Orleans Saints,U 45,
Mon,Sep 30 1985,9:00,@,Pittsburgh Steelers,L 24-37,L -6,,Cincinnati Bengals,O 45.5,
