Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Dec 8 1985,1:00,,New York Jets,W 27-7,W -9,@,Buffalo Bills,U 36.5,
Sun,Dec 8 1985,1:00,@,Chicago Bears,W 17-10,L -19.5,,Indianapolis Colts,U 42,
Sun,Dec 8 1985,1:00,,Dallas Cowboys,L 24-50,L -3,@,Cincinnati Bengals,O 45,
Sun,Dec 8 1985,1:00,,Miami Dolphins,W 34-24,W -4,@,Green Bay Packers,O 43,
Sun,Dec 8 1985,1:00,@,Kansas City Chiefs,W 38-10,W -3.5,,Atlanta Falcons,O 43,
Sun,Dec 8 1985,1:00,@,New England Patriots,W 23-6,W -8,,Detroit Lions,U 40,
Sun,Dec 8 1985,1:00,,Washington Redskins,W 17-12,W -1,@,Philadelphia Eagles,U 37.5,
Sun,Dec 8 1985,1:00,@,St Louis Cardinals,W 28-16,W -3,,New Orleans Saints,O 41,
Sun,Dec 8 1985,4:00,@,Denver Broncos,L 14-17 (OT),L -3,,Los Angeles Raiders,U 40.5,
Sun,Dec 8 1985,4:00,,New York Giants,W 35-14,W -7,@,Houston Oilers,O 41,
Sun,Dec 8 1985,4:00,@,Minnesota Vikings,W 26-7,W -6.5,,Tampa Bay Buccaneers,U 45,
Sun,Dec 8 1985,4:00,@,Seattle Seahawks,W 31-13,W -4.5,,Cleveland Browns,O 37,
Sun,Dec 8 1985,9:00,@,San Diego Chargers,W 54-44,W -5,,Pittsburgh Steelers,O 49,
Mon,Dec 9 1985,9:00,@,San Francisco 49ers,L 20-27,L -9,,Los Angeles Rams,O 40,
