Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Thu,"Nov 23, 1961",,@,New York Titans,W 21-14,W -1.5,,Buffalo Bills,,
Sun,"Nov 26, 1961",,@,Dallas Texans,W 43-11,W -13,,Oakland Raiders,,
Sun,"Nov 26, 1961",,@,Houston Oilers,W 45-14,W -20,,Denver Broncos,,
