Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
AFL Championship,Sun,"Dec 24, 1961",,,Houston Oilers,W 10-3,W -5.5,@,San Diego Chargers,
NFL Championship,Sun,"Dec 31, 1961",,@,Green Bay Packers,W 37-0,W -3.5,,New York Giants,
