Sat,"Sep 9, 1961",,@,Boston Patriots,L 20-21,L -19,,New York Titans,,
Sat,"Sep 9, 1961",,@,Houston Oilers,W 55-0,W -10,,Oakland Raiders,,
Sun,"Sep 10, 1961",,@,Buffalo Bills,L 10-22,N/A,,Denver Broncos,,
Sun,"Sep 10, 1961",,@,Dallas Texans,L 10-26,N/A,,San Diego Chargers,,
