Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Nov 13 2008,8:15,@,New England Patriots,L 31-34 (OT),L -3.5,,New York Jets,O 42.5,
Sun,Nov 16 2008,1:00,,New Orleans Saints,W 30-20,W -6,@,Kansas City Chiefs,U 51,
Sun,Nov 16 2008,1:02,@,Atlanta Falcons,L 20-24,L -6.5,,Denver Broncos,U 52,
Sun,Nov 16 2008,1:02,@,Green Bay Packers,W 37-3,W -3.5,,Chicago Bears,U 43,
Sun,Nov 16 2008,1:02,@,Indianapolis Colts,W 33-27,L -8,,Houston Texans,O 50.5,
Sun,Nov 16 2008,1:02,@,Miami Dolphins,W 17-15,L -10,,Oakland Raiders,U 37.5,
Sun,Nov 16 2008,1:02,@,New York Giants,W 30-10,W -7,,Baltimore Ravens,P 40,
Sun,Nov 16 2008,1:02,@,Tampa Bay Buccaneers,W 19-13,W -5.5,,Minnesota Vikings,U 38.5,
Sun,Nov 16 2008,1:03,@,Carolina Panthers,W 31-22,L -14,,Detroit Lions,O 40.5,
Sun,Nov 16 2008,1:03,,Philadelphia Eagles,T 13-13 (OT),L -9,@,Cincinnati Bengals,U 41,
Sun,Nov 16 2008,4:05,@,San Francisco 49ers,W 35-16,W -7,,St Louis Rams,O 43.5,
Sun,Nov 16 2008,4:06,,Arizona Cardinals,W 26-20,W -3,@,Seattle Seahawks,U 48,
Sun,Nov 16 2008,4:15,,Tennessee Titans,W 24-14,W -3,@,Jacksonville Jaguars,U 40,
Sun,Nov 16 2008,4:16,@,Pittsburgh Steelers,W 11-10,L -4.5,,San Diego Chargers,U 40.5,
Sun,Nov 16 2008,8:23,,Dallas Cowboys,W 14-10,W -2,@,Washington Redskins,U 43,
Mon,Nov 17 2008,8:40,@,Buffalo Bills,L 27-29,L -5,,Cleveland Browns,O 40,
