Sun,"Oct 12, 1969",,,Dallas Cowboys,W 24-17,L -13,@,Atlanta Falcons,,
Sun,"Oct 12, 1969",,,Minnesota Vikings,W 31-0,W -4,@,Chicago Bears,,
Sun,"Oct 12, 1969",,@,Detroit Lions,L 17-28,L -1,,Green Bay Packers,,
Sun,"Oct 12, 1969",,,Cleveland Browns,W 27-17,W -9,@,New Orleans Saints,,
Sun,"Oct 12, 1969",,@,New York Giants,W 10-7,L -8,,Pittsburgh Steelers,,
Sun,"Oct 12, 1969",,,Los Angeles Rams,W 27-21,L -7,@,San Francisco 49ers,,
Sun,"Oct 12, 1969",,,St Louis Cardinals,L 17-33,L -1,@,Washington Redskins,,
Mon,"Oct 13, 1969",,@,Baltimore Colts,W 24-20,L -14,,Philadelphia Eagles,,
