Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Nov 27, 1969",,@,Houston Oilers,L 17-21,L -4,,San Diego Chargers,,
Thu,"Nov 27, 1969",,@,Kansas City Chiefs,W 31-17,L -17,,Denver Broncos,,
Sun,"Nov 30, 1969",,@,Buffalo Bills,W 16-13,W PK,,Cincinnati Bengals,,
Sun,"Nov 30, 1969",,,Boston Patriots,W 38-23,W -2,@,Miami Dolphins,,
Sun,"Nov 30, 1969",,,Oakland Raiders,W 27-14,W -3,@,New York Jets,,
