Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Mark Irvin,Bethune-Cookman,1,1987,1987,3,0,https://www.profootballarchives.com/players/i/irvi00800.html
Michael Irvin,Miami,(Florida),12,1988,1999,159,https://www.profootballarchives.com/players/i/irvi01000.html
Sedrick Irvin,Michigan,State,2,1999,2000,20,https://www.profootballarchives.com/players/i/irvi01050.html
Tex Irvin,Davis,&,Elkins,5,1931,1935,https://www.profootballarchives.com/players/i/irvi01200.html
Willie Irvin,Florida,A&M,1,1953,1953,3,https://www.profootballarchives.com/players/i/irvi01400.html
Bucky Irving,Minnesota;,Oregon,1,2024,2024,17,https://www.profootballarchives.com/players/i/irvi01575.html
David Irving,Iowa,State,5,2015,2020,39,https://www.profootballarchives.com/players/i/irvi01585.html
Isaiah Irving,San,Jose,State,4,2017,2020,https://www.profootballarchives.com/players/i/irvi01600.html
Nate Irving,North,Carolina,State,5,2011,2015,https://www.profootballarchives.com/players/i/irvi01670.html
Terry Irving,McNeese,State,5,1994,1998,70,https://www.profootballarchives.com/players/i/irvi01800.html
Don Irwin,Colgate,4,1936,1939,29,15,https://www.profootballarchives.com/players/i/irwi00200.html
Dutch Irwin,Mercer,1,1920,1920,1,0,https://www.profootballarchives.com/players/i/irwi00400.html
Heath Irwin,Colorado,6,1997,2002,87,29,https://www.profootballarchives.com/players/i/irwi00500.html
Jim Irwin,none,2,1921,1922,3,2,https://www.profootballarchives.com/players/i/irwi00600.html
Tim Irwin,Tennessee,15,1981,1994,201,187,https://www.profootballarchives.com/players/i/irwi00800.html
Trenton Irwin,Stanford,6,2019,2024,41,9,https://www.profootballarchives.com/players/i/irwi00830.html
Adisa Isaac,Penn,State,1,2024,2024,4,https://www.profootballarchives.com/players/i/isaa00020.html
Keenan Isaac,Alabama,State,2,2023,2024,6,https://www.profootballarchives.com/players/i/isaa00060.html
Ted Isaacson,Washington,2,1934,1935,22,7,https://www.profootballarchives.com/players/i/isaa00200.html
Wilmer Isabel,Ohio,State,2,1923,1924,17,https://www.profootballarchives.com/players/i/isab00200.html
Andy Isabella,Massachusetts,6,2019,2023,43,3,https://www.profootballarchives.com/players/i/isab00500.html
Sale Isaia,UCLA,2,1996,2000,25,14,https://www.profootballarchives.com/players/i/isai00200.html
Cecil Isbell,Purdue,5,1938,1942,54,24,https://www.profootballarchives.com/players/i/isbe00200.html
Joe Bob,Isbell,Houston,4,1962,1966,45,https://www.profootballarchives.com/players/i/isbe00400.html
John Isenbarger,Indiana,4,1970,1973,55,4,https://www.profootballarchives.com/players/i/isen00200.html
Kemal Ishmael,Central,Florida,7,2013,2019,95,https://www.profootballarchives.com/players/i/ishm00400.html
Danny Isidora,Miami,(Florida),5,2017,2021,30,https://www.profootballarchives.com/players/i/isid00200.html
Keith Ismael,San,Diego,State,3,2020,2023,https://www.profootballarchives.com/players/i/isma00050.html
Qadry Ismail,Syracuse,10,1993,2002,137,58,https://www.profootballarchives.com/players/i/isma00200.html
Rocket Ismail,Notre,Dame,9,1993,2001,126,https://www.profootballarchives.com/players/i/isma00400.html
Jasen Isom,Cincinnati;,Western,Illinois,2,2003,2004,https://www.profootballarchives.com/players/i/isom00100.html
Ray Isom,Penn,State,2,1987,1988,8,https://www.profootballarchives.com/players/i/isom00200.html
Rickey Isom,North,Carolina,State,1,1987,1987,https://www.profootballarchives.com/players/i/isom00400.html
Ron Israel,Notre,Dame,1,2003,2003,1,https://www.profootballarchives.com/players/i/isra00150.html
Steve Israel,Pittsburgh,9,1992,2001,102,38,https://www.profootballarchives.com/players/i/isra00200.html
Jabari Issa,Washington,2,2000,2001,23,5,https://www.profootballarchives.com/players/i/issa00200.html
Rod Issac,Middle,Tennessee,State,1,2011,2011,https://www.profootballarchives.com/players/i/issa00400.html
Ralph Isselhardt,Franklin,1,1937,1937,9,0,https://www.profootballarchives.com/players/i/isse00200.html
Pete Ittersagen,Wheaton,1,2010,2010,3,0,https://www.profootballarchives.com/players/i/itte00200.html
Jack Itzel,Georgetown,(DC);,Pittsburgh,1,1945,1945,https://www.profootballarchives.com/players/i/itze00200.html
Mike Iupati,Idaho,11,2010,2020,140,139,https://www.profootballarchives.com/players/i/iupa00200.html
Duke Iversen,Oregon,5,1947,1951,46,32,https://www.profootballarchives.com/players/i/iver00200.html
Eddie Lee,Ivery,Georgia,Tech,8,1979,1986,https://www.profootballarchives.com/players/i/iver00400.html
D.J. Ivey,Miami,(Florida),2,2023,2024,19,https://www.profootballarchives.com/players/i/ivey00050.html
Travis Ivey,Maryland,1,2010,2010,1,1,https://www.profootballarchives.com/players/i/ivey00400.html
Joey Ivie,Florida,2,2019,2019,8,0,https://www.profootballarchives.com/players/i/ivie00200.html
John Ivlow,Northwestern;,Colorado,State,1,1993,1993,https://www.profootballarchives.com/players/i/ivlo00200.html
Bob Ivory,Detroit,Mercy,1,1947,1947,4,https://www.profootballarchives.com/players/i/ivor00200.html
Chris Ivory,Washington,State,9,2010,2018,108,https://www.profootballarchives.com/players/i/ivor00230.html
Horace Ivory,Navarro,JC;,Oklahoma,7,1977,1982,https://www.profootballarchives.com/players/i/ivor00600.html
Corey Ivy,Northeastern,Oklahoma,A&M,JC;,Oklahoma,10,https://www.profootballarchives.com/players/i/ivy000150.html
Mortty Ivy,West,Virginia,1,2011,2011,6,https://www.profootballarchives.com/players/i/ivy000190.html
Pop Ivy,Oklahoma,7,1940,1947,54,38,https://www.profootballarchives.com/players/i/ivy000200.html
Mark Iwanowski,Pennsylvania,1,1978,1978,5,0,https://www.profootballarchives.com/players/i/iwan00200.html
Kenny Iwebema,Iowa,3,2008,2010,31,0,https://www.profootballarchives.com/players/i/iweb00200.html
Prince Charles,Iworah,Western,Kentucky,1,2016,2016,https://www.profootballarchives.com/players/i/iwor00200.html
Brian Iwuh,Colorado,6,2006,2011,85,4,https://www.profootballarchives.com/players/i/iwuh00200.html
Chidi Iwuoma,California,8,2001,2007,77,1,https://www.profootballarchives.com/players/i/iwuo00200.html
Joel Iyiegbuniwe,Western,Kentucky,5,2018,2022,58,https://www.profootballarchives.com/players/i/iyie00200.html
Christian Izien,Rutgers,2,2023,2024,31,12,https://www.profootballarchives.com/players/i/izie00200.html
George Izo,Notre,Dame,7,1960,1966,29,https://www.profootballarchives.com/players/i/izo000200.html
Larry Izzo,Rice,13,1996,2009,200,0,https://www.profootballarchives.com/players/i/izzo00100.html
Ryan Izzo,Florida,State,3,2019,2021,19,https://www.profootballarchives.com/players/i/izzo00400.html
