Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Tipa Galeai,Texas,Christian;,Utah,State,3,2020,https://www.profootballarchives.com/players/g/gale00130.html
Dion Gales,Mississippi,Gulf,Coast,CC;,Troy,1,https://www.profootballarchives.com/players/g/gale00150.html
Junior Galette,Temple;,Stillman,6,2010,2017,80,https://www.profootballarchives.com/players/g/gale01000.html
Arnie Galiffa,Army,2,1953,1954,7,1,https://www.profootballarchives.com/players/g/gali00200.html
Ed Galigher,Chabot,JC;,UCLA,7,1972,1978,https://www.profootballarchives.com/players/g/gali00400.html
Willie Galimore,Florida,A&M,7,1957,1963,82,https://www.profootballarchives.com/players/g/gali00600.html
Bernie Gallagher,Pennsylvania;,Princeton;,Pennsylvania,1,1947,1947,https://www.profootballarchives.com/players/g/gall00200.html
Dave Gallagher,Michigan,5,1974,1979,51,39,https://www.profootballarchives.com/players/g/gall00600.html
Ed Gallagher,Washington,&,Jefferson,1,1928,1928,https://www.profootballarchives.com/players/g/gall00800.html
Frank Gallagher,North,Carolina,8,1967,1973,90,https://www.profootballarchives.com/players/g/gall01000.html
Allen Gallaher,Southern,California,1,1974,1974,14,https://www.profootballarchives.com/players/g/gall01200.html
Tommy Gallarda,Boise,State,1,2012,2012,9,https://www.profootballarchives.com/players/g/gall01350.html
Hugh Gallarneau,Stanford,5,1941,1947,54,45,https://www.profootballarchives.com/players/g/gall01400.html
Chon Gallegos,San,Jose,CC;,San,Jose,State,https://www.profootballarchives.com/players/g/gall01600.html
Jim Gallery,Minnesota,3,1987,1990,19,0,https://www.profootballarchives.com/players/g/gall01800.html
Nick Gallery,Iowa,1,1998,1998,1,0,https://www.profootballarchives.com/players/g/gall01850.html
Robert Gallery,Iowa,8,2004,2011,104,103,https://www.profootballarchives.com/players/g/gall01870.html
Andy Gallik,Boston,College,1,2015,2015,12,https://www.profootballarchives.com/players/g/gall01910.html
Neville Gallimore,Oklahoma,5,2020,2024,66,18,https://www.profootballarchives.com/players/g/gall01922.html
Laroni Gallishaw,Louisville;,Murray,State,1,2005,2005,https://www.profootballarchives.com/players/g/gall01950.html
Wayne Gallman,Clemson,6,2017,2021,61,14,https://www.profootballarchives.com/players/g/gall01963.html
Tony Gallovich,Wake,Forest,1,1941,1941,4,https://www.profootballarchives.com/players/g/gall02000.html
David Galloway,Florida,9,1982,1990,99,76,https://www.profootballarchives.com/players/g/gall02200.html
Duane Galloway,Santa,Monica,JC;,Arizona,State,3,https://www.profootballarchives.com/players/g/gall02400.html
Joey Galloway,Ohio,State,16,1995,2010,198,https://www.profootballarchives.com/players/g/gall02600.html
Mitchell Galloway,East,Carolina,1,1997,1997,3,https://www.profootballarchives.com/players/g/gall02800.html
Michael Gallup,Butler,CC;,Colorado,State,6,2018,https://www.profootballarchives.com/players/g/gall03180.html
Connor Galvin,Baylor,1,2023,2023,1,0,https://www.profootballarchives.com/players/g/galv00050.html
John Galvin,Purdue,1,1947,1947,13,0,https://www.profootballarchives.com/players/g/galv00200.html
John Galvin,Boston,College,4,1988,1991,52,https://www.profootballarchives.com/players/g/galv00400.html
Scott Galyon,Tennessee,7,1996,2002,95,4,https://www.profootballarchives.com/players/g/galy00200.html
Vince Gamache,Fullerton,State,2,1986,1987,19,https://www.profootballarchives.com/players/g/gama00200.html
Lu Gambino,Indiana;,Maryland,2,1948,1949,20,https://www.profootballarchives.com/players/g/gamb00200.html
Chris Gamble,Ohio,State,9,2004,2012,123,https://www.profootballarchives.com/players/g/gamb00230.html
Darryl Gamble,Georgia,1,2011,2011,5,0,https://www.profootballarchives.com/players/g/gamb00240.html
David Gamble,New,Hampshire,1,1997,1997,2,https://www.profootballarchives.com/players/g/gamb00250.html
Kenny Gamble,Colgate,3,1988,1990,19,0,https://www.profootballarchives.com/players/g/gamb00400.html
R.C. Gamble,South,Carolina,State,2,1968,1969,https://www.profootballarchives.com/players/g/gamb00600.html
Trent Gamble,Wyoming,4,2000,2003,39,1,https://www.profootballarchives.com/players/g/gamb00730.html
Chris Gambol,Iowa,4,1988,1990,34,15,https://www.profootballarchives.com/players/g/gamb00800.html
Bob Gambold,Washington,State,1,1953,1953,3,https://www.profootballarchives.com/players/g/gamb01000.html
Billy Gambrell,South,Carolina,6,1963,1968,78,https://www.profootballarchives.com/players/g/gamb01200.html
Kendall Gammon,Pittsburg,State,15,1992,2006,234,https://www.profootballarchives.com/players/g/gamm00200.html
Rusty Ganas,South,Carolina,1,1971,1971,1,https://www.profootballarchives.com/players/g/gana00400.html
Terrance Ganaway,Houston;,Texarkana,JC;,Baylor,1,2012,https://www.profootballarchives.com/players/g/gana00800.html
Sonny Gandee,Ohio,State,6,1952,1956,54,https://www.profootballarchives.com/players/g/gand00200.html
Dylan Gandy,Texas,Tech,8,2005,2013,120,https://www.profootballarchives.com/players/g/gand00270.html
Mike Gandy,Notre,Dame,8,2002,2009,108,https://www.profootballarchives.com/players/g/gand00350.html
Wayne Gandy,Auburn,15,1994,2008,219,205,https://www.profootballarchives.com/players/g/gand00400.html
