Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Nick Ralston,Arizona,State;,Louisiana-Lafayette,1,2021,2021,https://www.profootballarchives.com/players/r/rals00600.html
Bacarri Rambo,Georgia,5,2013,2016,41,16,https://www.profootballarchives.com/players/r/ramb00120.html
Ken-Yon Rambo,Ohio,State,2,2001,2002,29,https://www.profootballarchives.com/players/r/ramb00150.html
Ryan Ramczyk,Wisconsin-Stevens,Point;,Wisconsin,7,2017,2023,https://www.profootballarchives.com/players/r/ramc00200.html
Jim Ramey,Kentucky,2,1979,1987,10,0,https://www.profootballarchives.com/players/r/rame00200.html
Jose Ramirez,Arizona;,Riverside,CC;,Eastern,Michigan,1,https://www.profootballarchives.com/players/r/rami00040.html
Manny Ramirez,Texas,Tech,8,2007,2015,83,https://www.profootballarchives.com/players/r/rami00050.html
Tony Ramirez,Northern,Colorado,3,1997,1999,30,https://www.profootballarchives.com/players/r/rami00200.html
Joe Ramona,Santa,Clara,1,1953,1953,9,https://www.profootballarchives.com/players/r/ramo00200.html
Andre Ramsey,Ball,State,1,2009,2009,2,https://www.profootballarchives.com/players/r/rams00130.html
Buster Ramsey,William,&,Mary,6,1946,1951,https://www.profootballarchives.com/players/r/rams00170.html
Chuck Ramsey,Wake,Forest,8,1977,1984,117,https://www.profootballarchives.com/players/r/rams00200.html
Derrick Ramsey,Kentucky,10,1978,1987,122,38,https://www.profootballarchives.com/players/r/rams00400.html
Frank Ramsey,Oregon,State,1,1945,1945,10,https://www.profootballarchives.com/players/r/rams00600.html
Greg Ramsey,Fresno,State,1,1987,1987,2,https://www.profootballarchives.com/players/r/rams01000.html
Herschel Ramsey,Texas,Tech,4,1938,1945,34,https://www.profootballarchives.com/players/r/rams01200.html
Jalen Ramsey,Florida,State,10,2016,2024,135,https://www.profootballarchives.com/players/r/rams01300.html
Knox Ramsey,William,&,Mary,7,1948,1953,https://www.profootballarchives.com/players/r/rams01400.html
LaJuan Ramsey,Southern,California,4,2006,2009,34,https://www.profootballarchives.com/players/r/rams01500.html
Nate Ramsey,Indiana,11,1963,1973,138,121,https://www.profootballarchives.com/players/r/rams01600.html
Patrick Ramsey,Tulane,7,2002,2008,38,24,https://www.profootballarchives.com/players/r/rams01700.html
Randy Ramsey,Arkansas,1,2020,2020,12,0,https://www.profootballarchives.com/players/r/rams01780.html
Ray Ramsey,Bradley,8,1947,1953,77,63,https://www.profootballarchives.com/players/r/rams01800.html
Steve Ramsey,North,Texas,7,1970,1976,54,https://www.profootballarchives.com/players/r/rams02000.html
Tom Ramsey,UCLA,4,1986,1989,28,5,https://www.profootballarchives.com/players/r/rams02400.html
Eason Ramson,Washington,State,7,1978,1985,85,https://www.profootballarchives.com/players/r/rams02600.html
Curtis Randall,Louisiana,Tech,1,2004,2004,4,https://www.profootballarchives.com/players/r/rand00370.html
Damarious Randall,Butler,CC;,Mesa,CC;,Arizona,State,https://www.profootballarchives.com/players/r/rand00390.html
Dennis Randall,Oklahoma,State,2,1967,1968,20,https://www.profootballarchives.com/players/r/rand00400.html
Greg Randall,Coffeyville,CC;,Michigan,State,4,2000,https://www.profootballarchives.com/players/r/rand00430.html
Kheeston Randall,Texas,1,2012,2012,12,0,https://www.profootballarchives.com/players/r/rand00460.html
Marcus Randall,Louisiana,State,1,2005,2005,3,https://www.profootballarchives.com/players/r/rand00500.html
Tom Randall,Iowa,State,2,1978,1979,24,https://www.profootballarchives.com/players/r/rand00600.html
Proc Randels,Kansas,State,3,1926,1928,26,https://www.profootballarchives.com/players/r/rand01000.html
Ervin Randle,Baylor,8,1985,1992,105,54,https://www.profootballarchives.com/players/r/rand01200.html
John Randle,Trinity,Valley,CC;,Texas,A&M-Kingsville,14,https://www.profootballarchives.com/players/r/rand01400.html
Joseph Randle,Oklahoma,State,3,2013,2015,35,https://www.profootballarchives.com/players/r/rand01420.html
Rueben Randle,Louisiana,State,4,2012,2015,64,https://www.profootballarchives.com/players/r/rand01500.html
Sonny Randle,Virginia,Military,Institute;,Virginia,11,1959,https://www.profootballarchives.com/players/r/rand01600.html
Tate Randle,Texas,Tech,7,1982,1987,69,https://www.profootballarchives.com/players/r/rand01800.html
Antwaan Randle,El,Indiana,9,2002,2010,143,https://www.profootballarchives.com/players/r/rand01900.html
Al Randolph,Iowa,11,1966,1974,111,56,https://www.profootballarchives.com/players/r/rand02000.html
Clare Randolph,Indiana,7,1930,1936,77,50,https://www.profootballarchives.com/players/r/rand02200.html
Harry Randolph,Bethany,(West,Virginia),1,1923,1923,https://www.profootballarchives.com/players/r/rand02600.html
Terry Randolph,American,International,1,1977,1977,14,https://www.profootballarchives.com/players/r/rand02800.html
Thomas Randolph,Kansas,State,6,1994,1999,95,https://www.profootballarchives.com/players/r/rand03000.html
Louis Rankin,Washington,2,2009,2009,9,0,https://www.profootballarchives.com/players/r/rank00160.html
