Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Nov 26, 1964",,@,San Diego Chargers,L 24-27,L -1,,Buffalo Bills,,
Sun,"Nov 29, 1964",,,Oakland Raiders,T 20-20,L -5,@,Denver Broncos,,
Sun,"Nov 29, 1964",,,Boston Patriots,W 34-17,W -4.5,@,Houston Oilers,,
Sun,"Nov 29, 1964",,,Kansas City Chiefs,L 14-27,L -1,@,New York Jets,,
