Round,Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
AFC Wild Card,Sat,Jan 9 2010,4:36,@,Cincinnati Bengals (4),L 14-24,L -2.5,,New York Jets (5),O 34.5
NFC Wild Card,Sat,Jan 9 2010,8:05,@,Dallas Cowboys (3),W 34-14,W -3.5,,Philadelphia Eagles (6),O 46
AFC Wild Card,Sun,Jan 10 2010,1:03,@,New England Patriots (3),L 14-33,L -4,,Baltimore Ravens (6),O 44
NFC Wild Card,Sun,Jan 10 2010,4:30,,Green Bay Packers (5),L 45-51 (OT),L -2.5,@,Arizona Cardinals (4),O 48
NFC Divisional,Sat,Jan 16 2010,4:34,@,New Orleans Saints (1),W 45-14,W -7,,Arizona Cardinals (4),O 57
AFC Divisional,Sat,Jan 16 2010,8:15,@,Indianapolis Colts (1),W 20-3,W -6.5,,Baltimore Ravens (6),U 44
NFC Divisional,Sun,Jan 17 2010,1:05,@,Minnesota Vikings (2),W 34-3,W -2.5,,Dallas Cowboys (3),U 45
AFC Divisional,Sun,Jan 17 2010,4:40,@,San Diego Chargers (2),L 14-17,L -7.5,,New York Jets (5),U 42.5
AFC Championship,Sun,Jan 24 2010,3:05,@,Indianapolis Colts (1),W 30-17,W -8.5,,New York Jets (5),O 40.5
NFC Championship,Sun,Jan 24 2010,6:45,@,New Orleans Saints (1),W 31-28 (OT),L -3.5,,Minnesota Vikings (2),O 54
Super Bowl XLIV,Sun,Feb 7 2010,6:31,N,Indianapolis Colts (1),L 17-31,L -4.5,,New Orleans Saints (1),U 56.5
