Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Dec 3, 2009",8:20,,New York Jets,W 19-13,W -3.5,@,Buffalo Bills,U 37,at Toronto
Sun,"Dec 6, 2009",1:00,,Denver Broncos,W 44-13,W -6,@,Kansas City Chiefs,O 39,
Sun,"Dec 6, 2009",1:02,@,Chicago Bears,W 17-9,L -9,,St Louis Rams,U 41,
Sun,"Dec 6, 2009",1:02,@,Cincinnati Bengals,W 23-13,L -13.5,,Detroit Lions,U 42,
Sun,"Dec 6, 2009",1:02,,New England Patriots,L 21-22,L -5,@,Miami Dolphins,U 46.5,
Sun,"Dec 6, 2009",1:02,@,Pittsburgh Steelers,L 24-27,L -15,,Oakland Raiders,O 37,
Sun,"Dec 6, 2009",1:03,,Philadelphia Eagles,W 34-7,W -4,@,Atlanta Falcons,U 43.5,
Sun,"Dec 6, 2009",1:03,@,Carolina Panthers,W 16-6,W -3.5,,Tampa Bay Buccaneers,U 40,
Sun,"Dec 6, 2009",1:03,@,Indianapolis Colts,W 27-17,W -6,,Tennessee Titans,U 47,
Sun,"Dec 6, 2009",1:03,,Houston Texans,L 18-23,L -1.5,@,Jacksonville Jaguars,U 47.5,
Sun,"Dec 6, 2009",1:03,,New Orleans Saints,W 33-30 (OT),L -8,@,Washington Commanders,O 47,
Sun,"Dec 6, 2009",4:05,,San Diego Chargers,W 30-23,L -13.5,@,Cleveland Browns,O 42.5,
Sun,"Dec 6, 2009",4:15,,Dallas Cowboys,L 24-31,L -1.5,@,New York Giants,O 45.5,
Sun,"Dec 6, 2009",4:16,,San Francisco 49ers,L 17-20,L -1,@,Seattle Seahawks,U 41.5,
Sun,"Dec 6, 2009",8:20,,Minnesota Vikings,L 17-30,L -3,@,Arizona Cardinals,U 49,
Mon,"Dec 7, 2009",8:40,@,Green Bay Packers,W 27-14,W -4,,Baltimore Ravens,U 43,
