Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Nov 12, 2009",8:20,@,San Francisco 49ers,W 10-6,W -3,,Chicago Bears,U 43.5,
Sun,"Nov 15, 2009",1:00,,New Orleans Saints,W 28-23,L -14.5,@,St Louis Rams,P 51,
Sun,"Nov 15, 2009",1:02,@,New York Jets,L 22-24,L -6.5,,Jacksonville Jaguars,O 41,
Sun,"Nov 15, 2009",1:02,@,Pittsburgh Steelers,L 12-18,L -6.5,,Cincinnati Bengals,U 41.5,
Sun,"Nov 15, 2009",1:02,@,Tennessee Titans,W 41-17,W -7.5,,Buffalo Bills,O 41,
Sun,"Nov 15, 2009",1:02,,Denver Broncos,L 17-27,L -3.5,@,Washington Commanders,O 36.5,
Sun,"Nov 15, 2009",1:03,,Atlanta Falcons,L 19-28,L -1,@,Carolina Panthers,O 43.5,
Sun,"Nov 15, 2009",1:03,@,Miami Dolphins,W 25-23,L -10,,Tampa Bay Buccaneers,O 43.5,
Sun,"Nov 15, 2009",1:05,@,Minnesota Vikings,W 27-10,P -17,,Detroit Lions,U 47.5,
Sun,"Nov 15, 2009",4:05,@,Oakland Raiders,L 10-16,L -2.5,,Kansas City Chiefs,U 36,
Sun,"Nov 15, 2009",4:15,@,Arizona Cardinals,W 31-20,W -8.5,,Seattle Seahawks,O 46.5,
Sun,"Nov 15, 2009",4:15,,Dallas Cowboys,L 7-17,L -3,@,Green Bay Packers,U 48,
Sun,"Nov 15, 2009",4:15,@,San Diego Chargers,W 31-23,W -1.5,,Philadelphia Eagles,O 47,
Sun,"Nov 15, 2009",8:31,@,Indianapolis Colts,W 35-34,L -1.5,,New England Patriots,O 48.5,
Mon,"Nov 16, 2009",8:40,,Baltimore Ravens,W 16-0,W -11,@,Cleveland Browns,U 39,
