Round,Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
NFC Wild Card,Sat,"Jan 8, 2005",4:37,@,Seattle Seahawks (4),L 20-27,L -4,,St Louis Rams (5),U 51
AFC Wild Card,Sat,"Jan 8, 2005",8:14,@,San Diego Chargers (3),L 17-20 (OT),L -6.5,,New York Jets (6),U 42.5
AFC Wild Card,Sun,"Jan 9, 2005",1:07,@,Indianapolis Colts (4),W 49-24,W -10,,Denver Broncos (5),O 56
NFC Wild Card,Sun,"Jan 9, 2005",4:39,@,Green Bay Packers (3),L 17-31,L -6,,Minnesota Vikings (6),U 52.5
AFC Divisional,Sat,"Jan 15, 2005",4:36,@,Pittsburgh Steelers (1),W 20-17 (OT),L -9,,New York Jets (6),O 35.5
NFC Divisional,Sat,"Jan 15, 2005",8:22,@,Atlanta Falcons (2),W 47-17,W -6.5,,St Louis Rams (5),O 49
NFC Divisional,Sun,"Jan 16, 2005",1:06,@,Philadelphia Eagles (1),W 27-14,W -8,,Minnesota Vikings (6),U 47
AFC Divisional,Sun,"Jan 16, 2005",4:45,@,New England Patriots (2),W 20-3,W -1,,Indianapolis Colts (4),U 51
NFC Championship,Sun,"Jan 23, 2005",3:08,@,Philadelphia Eagles (1),W 27-10,W -6,,Atlanta Falcons (2),P 37
AFC Championship,Sun,"Jan 23, 2005",6:36,,New England Patriots (2),W 41-27,W -3,@,Pittsburgh Steelers (1),O 36.5
Super Bowl XXXIX,Sun,"Feb 6, 2005",6:38,N,New England Patriots (2),W 24-21,L -7,,Philadelphia Eagles (1),U 47
