Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sat,Sep 24 1977,8:00,,Minnesota Vikings,W 9-3,L -14.5,@,Tampa Bay Buccaneers,,
Sun,Sep 25 1977,1:00,@,Cincinnati Bengals,W 42-20,W -20,,Seattle Seahawks,,
Sun,Sep 25 1977,1:00,,Baltimore Colts,W 20-12,L -14,@,New York Jets,,
Sun,Sep 25 1977,1:00,,Oakland Raiders,W 16-7,W -2,@,Pittsburgh Steelers,,
Sun,Sep 25 1977,1:00,@,Washington Redskins,W 10-6,L -9,,Atlanta Falcons,,
Sun,Sep 25 1977,2:00,@,Dallas Cowboys,W 41-21,W -13.5,,New York Giants,,
Sun,Sep 25 1977,2:00,@,Detroit Lions,W 23-19,L -5.5,,New Orleans Saints,,
Sun,Sep 25 1977,2:00,,Houston Oilers,W 16-10,W -3,@,Green Bay Packers,,
Sun,Sep 25 1977,2:00,@,Kansas City Chiefs,L 7-23,L -2.5,,San Diego Chargers,,
Sun,Sep 25 1977,2:00,@,St Louis Cardinals,W 16-13,L -3.5,,Chicago Bears,,
Sun,Sep 25 1977,4:00,@,Denver Broncos,W 26-6,W -13,,Buffalo Bills,,
Sun,Sep 25 1977,4:00,@,Los Angeles Rams,W 20-0,W -10.5,,Philadelphia Eagles,,
Sun,Sep 25 1977,4:00,,Miami Dolphins,W 19-15,L -4.5,@,San Francisco 49ers,,
Mon,Sep 26 1977,9:00,,New England Patriots,L 27-30 (OT),L -3.5,@,Cleveland Browns,,
