Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Sat,"Dec 17, 1977",1:00,,Los Angeles Rams,L 14-17,L -4,@,Washington Redskins,,
Sat,"Dec 17, 1977",4:00,@,Miami Dolphins,W 31-14,W -14,,Buffalo Bills,,
Sat,"Dec 17, 1977",10:00,,Minnesota Vikings,W 30-21,W -6,@,Detroit Lions,,
Sun,"Dec 18, 1977",1:00,@,Atlanta Falcons,W 35-7,W -7,,New Orleans Saints,,
Sun,"Dec 18, 1977",1:00,,Chicago Bears,W 12-9 (OT),L -6.5,@,New York Giants,,
Sun,"Dec 18, 1977",1:00,@,Philadelphia Eagles,W 27-0,W -6.5,,New York Jets,,
Sun,"Dec 18, 1977",1:00,,St Louis Cardinals,L 7-17,L -6.5,@,Tampa Bay Buccaneers,,
Sun,"Dec 18, 1977",2:00,@,Dallas Cowboys,W 14-6,W -4,,Denver Broncos,,
Sun,"Dec 18, 1977",2:00,@,Green Bay Packers,W 16-14,P -2,,San Francisco 49ers,,at Milwaukee
Sun,"Dec 18, 1977",2:00,,Cincinnati Bengals,L 16-21,L -3.5,@,Houston Oilers,,
Sun,"Dec 18, 1977",4:00,@,Baltimore Colts,W 30-24,W -5.5,,New England Patriots,,
Sun,"Dec 18, 1977",4:00,@,Oakland Raiders,W 21-20,L -12.5,,Kansas City Chiefs,,
Sun,"Dec 18, 1977",4:00,@,San Diego Chargers,L 9-10,L -3.5,,Pittsburgh Steelers,,
Sun,"Dec 18, 1977",4:00,@,Seattle Seahawks,W 20-19,L -3.5,,Cleveland Browns,,
