Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Atlanta Falcons,7-7 (50.0%),8-6  (57.1%),4-3 (57.1%),4-3-0  (57.1%),4-3 (57.1%),4-3-0 (57.1%),3-1 (75.0%),3-1-0 (75.0%),--
Baltimore Colts,10-4 (71.4%),6-8  (42.9%),10-2 (83.3%),6-6-0  (50.0%),6-1 (85.7%),4-3-0 (57.1%),6-1 (85.7%),4-3-0 (57.1%),0-1-0 (0.0%)
Buffalo Bills,3-11 (21.4%),4-10  (28.6%),0-2 (0.0%),0-2-0  (0.0%),1-6 (14.3%),1-6-0 (14.3%),0-1 (0.0%),0-1-0 (0.0%),--
Chicago Bears,9-5 (64.3%),8-6  (57.1%),8-3 (72.7%),5-6-0  (45.5%),5-2 (71.4%),4-3-0 (57.1%),4-2 (66.7%),3-3-0 (50.0%),1-0-0 (100.%)
Cincinnati Bengals,8-6 (57.1%),7-7  (50.0%),5-3 (62.5%),4-4-0  (50.0%),5-2 (71.4%),4-3-0 (57.1%),3-1 (75.0%),2-2-0 (50.0%),--
Cleveland Browns,6-8 (42.9%),8-6  (57.1%),3-1 (75.0%),3-1-0  (75.0%),2-5 (28.6%),2-5-0 (28.6%),1-1 (50.0%),1-1-0 (50.0%),--
Dallas Cowboys,12-2 (85.7%),7-6-1  (53.8%),11-1 (91.7%),6-5-1  (54.5%),6-1 (85.7%),4-3-0 (57.1%),6-1 (85.7%),4-3-0 (57.1%),0-1-0 (0.0%)
Denver Broncos,12-2 (85.7%),9-5  (64.3%),11-0 (100.%),8-3-0  (72.7%),6-1 (85.7%),6-1-0 (85.7%),6-0 (100.%),6-0-0 (100.%),--
Detroit Lions,6-8 (42.9%),4-10  (28.6%),4-1 (80.0%),0-5-0  (0.0%),5-2 (71.4%),1-6-0 (14.3%),4-0 (100.%),0-4-0 (0.0%),--
Green Bay Packers,4-10 (28.6%),5-8-1  (38.5%),3-0 (100.%),1-1-1  (50.0%),2-5 (28.6%),1-5-1 (16.7%),2-0 (100.%),0-1-1 (0.0%),--
Houston Oilers,8-6 (57.1%),10-4  (71.4%),5-1 (83.3%),5-1-0  (83.3%),5-2 (71.4%),5-2-0 (71.4%),2-1 (66.7%),2-1-0 (66.7%),--
Kansas City Chiefs,2-12 (14.3%),8-6  (57.1%),1-2 (33.3%),1-2-0  (33.3%),1-6 (14.3%),4-3-0 (57.1%),1-2 (33.3%),1-2-0 (33.3%),1-0-0 (100.%)
Los Angeles Rams,10-4 (71.4%),9-5  (64.3%),9-4 (69.2%),8-5-0  (61.5%),7-0 (100.%),6-1-0 (85.7%),6-0 (100.%),5-1-0 (83.3%),2-0-0 (100.%)
Miami Dolphins,10-4 (71.4%),7-5-2  (58.3%),7-2 (77.8%),4-4-1  (50.0%),6-1 (85.7%),5-2-0 (71.4%),4-1 (80.0%),3-2-0 (60.0%),--
Minnesota Vikings,9-5 (64.3%),4-10  (28.6%),9-2 (81.8%),4-7-0  (36.4%),5-2 (71.4%),2-5-0 (28.6%),5-2 (71.4%),2-5-0 (28.6%),1-0-0 (100.%)
New England Patriots,9-5 (64.3%),5-8-1  (38.5%),8-4 (66.7%),4-7-1  (36.4%),6-1 (85.7%),2-4-1 (33.3%),6-1 (85.7%),2-4-1 (33.3%),--
New Orleans Saints,3-11 (21.4%),5-8-1  (38.5%),0-4 (0.0%),0-4-0  (0.0%),2-5 (28.6%),2-5-0 (28.6%),0-4 (0.0%),0-4-0 (0.0%),--
New York Giants,5-9 (35.7%),7-7  (50.0%),1-1 (50.0%),1-1-0  (50.0%),3-4 (42.9%),4-3-0 (57.1%),0-1 (0.0%),0-1-0 (0.0%),0-1-0 (0.0%)
New York Jets,3-11 (21.4%),8-5-1  (61.5%),0-2 (0.0%),0-2-0  (0.0%),1-6 (14.3%),4-2-1 (66.7%),0-2 (0.0%),0-2-0 (0.0%),--
Oakland Raiders,11-3 (78.6%),7-7  (50.0%),11-3 (78.6%),7-7-0  (50.0%),6-1 (85.7%),4-3-0 (57.1%),6-1 (85.7%),4-3-0 (57.1%),1-0-0 (100.%)
Philadelphia Eagles,5-9 (35.7%),8-6  (57.1%),4-1 (80.0%),2-3-0  (40.0%),4-3 (57.1%),3-4-0 (42.9%),4-1 (80.0%),2-3-0 (40.0%),--
Pittsburgh Steelers,9-5 (64.3%),6-8  (42.9%),7-2 (77.8%),4-5-0  (44.4%),6-1 (85.7%),4-3-0 (57.1%),5-0 (100.%),3-2-0 (60.0%),--
San Diego Chargers,7-7 (50.0%),7-7  (50.0%),2-3 (40.0%),1-4-0  (20.0%),3-4 (42.9%),4-3-0 (57.1%),1-2 (33.3%),1-2-0 (33.3%),--
San Francisco 49ers,5-9 (35.7%),5-6-3  (45.5%),3-2 (60.0%),1-3-1  (25.0%),3-4 (42.9%),2-3-2 (40.0%),2-1 (66.7%),0-2-1 (0.0%),--
Seattle Seahawks,5-9 (35.7%),7-7  (50.0%),2-0 (100.%),1-1-0  (50.0%),3-4 (42.9%),4-3-0 (57.1%),2-0 (100.%),1-1-0 (50.0%),--
St Louis Cardinals,7-7 (50.0%),5-9  (35.7%),5-5 (50.0%),3-7-0  (30.0%),4-3 (57.1%),2-5-0 (28.6%),4-2 (66.7%),2-4-0 (33.3%),0-2-0 (0.0%)
Tampa Bay Buccaneers,2-12 (14.3%),8-5-1  (61.5%),0-0,0-0-0,1-6 (14.3%),3-3-1 (50.0%),0-0,0-0-0,--
Washington Commanders,9-5 (64.3%),8-5-1  (61.5%),5-2 (71.4%),2-4-1  (33.3%),5-2 (71.4%),4-3-0 (57.1%),3-1 (75.0%),1-3-0 (25.0%),0-1-0 (0.0%)
