Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Nov 6, 1977",1:00,@,Atlanta Falcons,L 3-10,L -4,,San Francisco 49ers,,
Sun,"Nov 6, 1977",1:00,@,Cleveland Browns,L 7-10,L -3.5,,Cincinnati Bengals,,
Sun,"Nov 6, 1977",1:00,@,New England Patriots,L 14-24,L -18,,Buffalo Bills,,
Sun,"Nov 6, 1977",1:00,,Dallas Cowboys,W 24-10,W -13,@,New York Giants,,
Sun,"Nov 6, 1977",1:00,,Miami Dolphins,W 14-10,P -4,@,New York Jets,,
Sun,"Nov 6, 1977",1:00,@,Philadelphia Eagles,W 28-7,W -3.5,,New Orleans Saints,,
Sun,"Nov 6, 1977",2:00,,Chicago Bears,L 0-47,L -1.5,@,Houston Oilers,,
Sun,"Nov 6, 1977",2:00,@,Kansas City Chiefs,W 20-10,W -5.5,,Green Bay Packers,,
Sun,"Nov 6, 1977",4:00,@,Denver Broncos,W 21-7,W -1.5,,Pittsburgh Steelers,,
Sun,"Nov 6, 1977",4:00,,San Diego Chargers,L 0-20,L -3.5,@,Detroit Lions,,
Sun,"Nov 6, 1977",4:00,@,Los Angeles Rams,W 31-0,W -21,,Tampa Bay Buccaneers,,
Sun,"Nov 6, 1977",4:00,@,Minnesota Vikings,L 7-27,L -3.5,,St Louis Cardinals,,
Sun,"Nov 6, 1977",4:00,@,Oakland Raiders,W 44-7,W -19.5,,Seattle Seahawks,,
Mon,"Nov 7, 1977",9:00,@,Baltimore Colts,W 10-3,L -10.5,,Washington Redskins,U 39.5,
