Sun,"Nov 20, 1977",1:00,,New England Patriots,W 20-7,W -10,@,Buffalo Bills,,
Sun,"Nov 20, 1977",1:00,@,Chicago Bears,W 10-7,W -2.5,,Minnesota Vikings,,
Sun,"Nov 20, 1977",1:00,,Miami Dolphins,L 17-23,L -1,@,Cincinnati Bengals,,
Sun,"Nov 20, 1977",1:00,,Cleveland Browns,W 21-7,W -6.5,@,New York Giants,,
Sun,"Nov 20, 1977",2:00,@,Baltimore Colts,W 33-12,W -16,,New York Jets,,
Sun,"Nov 20, 1977",2:00,@,Detroit Lions,W 16-7,L -14.5,,Tampa Bay Buccaneers,,
Sun,"Nov 20, 1977",2:00,,Denver Broncos,W 14-7,L -7.5,@,Kansas City Chiefs,,
Sun,"Nov 20, 1977",2:00,,Atlanta Falcons,L 20-21,L -3,@,New Orleans Saints,,
Sun,"Nov 20, 1977",2:00,@,St Louis Cardinals,W 21-16,L -10,,Philadelphia Eagles,,
Sun,"Nov 20, 1977",4:00,@,Pittsburgh Steelers,W 28-13,W -2,,Dallas Cowboys,,
Sun,"Nov 20, 1977",4:00,,Oakland Raiders,L 7-12,L -12.5,@,San Diego Chargers,,
Sun,"Nov 20, 1977",4:00,,Los Angeles Rams,W 23-10,W -4.5,@,San Francisco 49ers,,
Sun,"Nov 20, 1977",4:00,,Houston Oilers,W 22-10,W -7,@,Seattle Seahawks,,
Mon,"Nov 21, 1977",9:00,@,Washington Redskins,W 10-9,L -14,,Green Bay Packers,,
