Sun,"Oct 5, 1986",1:00,@,Atlanta Falcons,L 0-16,L -6,,Philadelphia Eagles,U 43.5,
Sun,"Oct 5, 1986",1:00,@,Chicago Bears,W 23-0,W -12.5,,Minnesota Vikings,U 43.5,
Sun,"Oct 5, 1986",1:00,@,Detroit Lions,W 24-13,W -3,,Houston Oilers,U 41,
Sun,"Oct 5, 1986",1:00,,Cincinnati Bengals,W 34-28,L -7,@,Green Bay Packers,O 45,at Milwaukee
Sun,"Oct 5, 1986",1:00,,Los Angeles Raiders,W 24-17,W -1,@,Kansas City Chiefs,O 37.5,
Sun,"Oct 5, 1986",1:00,@,New England Patriots,W 34-7,W -6,,Miami Dolphins,U 48,
Sun,"Oct 5, 1986",1:00,,Washington Redskins,W 14-6,W -7,@,New Orleans Saints,U 41,
Sun,"Oct 5, 1986",1:00,,Cleveland Browns,W 27-24,P -3,@,Pittsburgh Steelers,O 38.5,
Sun,"Oct 5, 1986",1:00,,New York Giants,W 13-6,L -7.5,@,St Louis Cardinals,U 39,
Sun,"Oct 5, 1986",4:00,@,Denver Broncos,W 29-14,W -5,,Dallas Cowboys,P 43,
Sun,"Oct 5, 1986",4:00,@,Los Angeles Rams,W 26-20 (OT),L -11,,Tampa Bay Buccaneers,O 37.5,
Sun,"Oct 5, 1986",4:00,@,New York Jets,W 14-13,L -7.5,,Buffalo Bills,U 45.5,
Sun,"Oct 5, 1986",4:00,@,San Francisco 49ers,W 35-14,W -17.5,,Indianapolis Colts,O 40,
Mon,"Oct 6, 1986",9:00,@,Seattle Seahawks,W 33-7,W -6,,San Diego Chargers,U 49,
