Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Dec 7, 1986",1:00,@,Atlanta Falcons,L 23-28,L -11,,Indianapolis Colts,O 37,
Sun,"Dec 7, 1986",1:00,,Cleveland Browns,W 21-17,W -3,@,Buffalo Bills,O 37,
Sun,"Dec 7, 1986",1:00,@,Chicago Bears,W 48-14,W -17,,Tampa Bay Buccaneers,O 35,
Sun,"Dec 7, 1986",1:00,,Minnesota Vikings,W 32-6,W -3,@,Green Bay Packers,U 40,
Sun,"Dec 7, 1986",1:00,,Denver Broncos,L 10-37,L -5.5,@,Kansas City Chiefs,O 38,
Sun,"Dec 7, 1986",1:00,@,New England Patriots,L 7-31,L -4.5,,Cincinnati Bengals,U 46,
Sun,"Dec 7, 1986",1:00,@,New Orleans Saints,L 27-31,L -3.5,,Miami Dolphins,O 41,
Sun,"Dec 7, 1986",1:00,@,Philadelphia Eagles,T 10-10 (OT),L -4.5,,St Louis Cardinals,U 36,
Sun,"Dec 7, 1986",1:00,@,Pittsburgh Steelers,W 27-17,W -4.5,,Detroit Lions,O 36,
Sun,"Dec 7, 1986",1:00,@,Washington Redskins,L 14-24,L -3.5,,New York Giants,P 38,
Sun,"Dec 7, 1986",4:00,@,San Diego Chargers,W 27-0,W -7,,Houston Oilers,U 43,
Sun,"Dec 7, 1986",4:00,@,San Francisco 49ers,W 24-10,W -6,,New York Jets,U 43,
Sun,"Dec 7, 1986",9:00,@,Los Angeles Rams,W 29-10,W -5,,Dallas Cowboys,P 39,
Mon,"Dec 8, 1986",9:00,,Los Angeles Raiders,L 0-37,L -2.5,@,Seattle Seahawks,U 41,
