Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Sep 28, 1986",1:00,@,Buffalo Bills,L 17-20,L -2,,Kansas City Chiefs,U 41,
Sun,"Sep 28, 1986",1:00,,Chicago Bears,W 44-7,W -4.5,@,Cincinnati Bengals,O 47,
Sun,"Sep 28, 1986",1:00,@,Cleveland Browns,W 24-21,L -8.5,,Detroit Lions,O 41.5,
Sun,"Sep 28, 1986",1:00,@,Houston Oilers,L 16-22 (OT),L -6.5,,Pittsburgh Steelers,U 39,
Sun,"Sep 28, 1986",1:00,@,Miami Dolphins,L 16-31,L -3,,San Francisco 49ers,U 50.5,
Sun,"Sep 28, 1986",1:00,@,Minnesota Vikings,W 42-7,W -6,,Green Bay Packers,O 39,
Sun,"Sep 28, 1986",1:00,@,New York Giants,W 20-17,L -10.5,,New Orleans Saints,U 40,
Sun,"Sep 28, 1986",1:00,,Los Angeles Rams,L 20-34,L -6,@,Philadelphia Eagles,O 37,
Sun,"Sep 28, 1986",1:00,@,Washington Redskins,W 19-14,W -4,,Seattle Seahawks,U 43.5,
Sun,"Sep 28, 1986",4:00,@,Denver Broncos,W 27-20,W -3,,New England Patriots,O 43.5,
Sun,"Sep 28, 1986",4:00,,New York Jets,W 26-7,W -9.5,@,Indianapolis Colts,U 44,
Sun,"Sep 28, 1986",4:00,@,Los Angeles Raiders,W 17-13,W -3,,San Diego Chargers,U 51.5,
Sun,"Sep 28, 1986",4:00,,Atlanta Falcons,W 23-20 (OT),L -6,@,Tampa Bay Buccaneers,U 45,
Mon,"Sep 29, 1986",9:00,,Dallas Cowboys,W 31-7,W -7,@,St Louis Cardinals,U 45,
