Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Sep 18 1986,8:00,@,Cleveland Browns,L 13-30,L -5,,Cincinnati Bengals,U 46,
Sun,Sep 21 1986,1:00,@,Buffalo Bills,W 17-10,W -3,,St Louis Cardinals,U 41,
Sun,Sep 21 1986,1:00,@,Dallas Cowboys,L 35-37,L -7.5,,Atlanta Falcons,O 42,
Sun,Sep 21 1986,1:00,@,Detroit Lions,L 20-24,L -9,,Tampa Bay Buccaneers,O 42,
Sun,Sep 21 1986,1:00,,Los Angeles Rams,W 24-7,W -7.5,@,Indianapolis Colts,U 40,
Sun,Sep 21 1986,1:00,@,Minnesota Vikings,W 31-7,W -5,,Pittsburgh Steelers,U 40,
Sun,Sep 21 1986,1:00,@,New England Patriots,L 31-38,L -6,,Seattle Seahawks,O 43,
Sun,Sep 21 1986,1:00,,Miami Dolphins,L 45-51 (OT),L -2,@,New York Jets,O 44,
Sun,Sep 21 1986,1:00,,Denver Broncos,W 33-7,W -3.5,@,Philadelphia Eagles,P 40,
Sun,Sep 21 1986,4:00,@,Kansas City Chiefs,W 27-13,W -3.5,,Houston Oilers,U 42,
Sun,Sep 21 1986,4:00,@,Los Angeles Raiders,L 9-14,L -3.5,,New York Giants,U 42,
Sun,Sep 21 1986,4:00,@,San Diego Chargers,L 27-30,L -3,,Washington Redskins,O 48,
Sun,Sep 21 1986,4:00,@,San Francisco 49ers,W 26-17,L -11,,New Orleans Saints,O 41,
Mon,Sep 22 1986,9:00,,Chicago Bears,W 25-12,W -11,@,Green Bay Packers,U 39.5,
