Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Oct 19 1986,1:00,,San Francisco 49ers,T 10-10 (OT),L -3,@,Atlanta Falcons,U 43,
Sun,Oct 19 1986,1:00,@,Buffalo Bills,W 24-13,W -10.5,,Indianapolis Colts,U 41,
Sun,Oct 19 1986,1:00,@,Cincinnati Bengals,W 31-28,L -6.5,,Houston Oilers,O 45.5,
Sun,Oct 19 1986,1:00,@,Cleveland Browns,L 14-17,L -13,,Green Bay Packers,U 41.5,
Sun,Oct 19 1986,1:00,,Los Angeles Raiders,W 30-28,W -1,@,Miami Dolphins,O 44,
Sun,Oct 19 1986,1:00,,Chicago Bears,L 7-23,L -9,@,Minnesota Vikings,U 38.5,
Sun,Oct 19 1986,1:00,@,New Orleans Saints,W 38-7,W -5,,Tampa Bay Buccaneers,O 39,
Sun,Oct 19 1986,1:00,,Dallas Cowboys,W 17-14,L -5.5,@,Philadelphia Eagles,U 40,
Sun,Oct 19 1986,1:00,,New England Patriots,W 34-0,W -7,@,Pittsburgh Steelers,U 41,
Sun,Oct 19 1986,1:00,@,Washington Redskins,W 28-21,L -13,,St Louis Cardinals,O 38.5,
Sun,Oct 19 1986,4:00,@,Kansas City Chiefs,W 42-41,L -5.5,,San Diego Chargers,O 45,
Sun,Oct 19 1986,4:00,@,Los Angeles Rams,W 14-10,L -7,,Detroit Lions,U 37.5,
Sun,Oct 19 1986,4:00,@,Seattle Seahawks,W 17-12,W -3,,New York Giants,U 39,
Mon,Oct 20 1986,9:00,,Denver Broncos,L 10-22,L -3.5,@,New York Jets,U 47,
