Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sat,Dec 21 2002,1:30,,Miami Dolphins,L 17-20,L -3,@,Minnesota Vikings,U 45,
Sat,Dec 21 2002,5:05,,San Francisco 49ers,W 17-14,L -3.5,@,Arizona Cardinals,U 41,
Sat,Dec 21 2002,8:39,,Philadelphia Eagles,W 27-3,W -7,@,Dallas Cowboys,U 36.5,
Sun,Dec 22 2002,1:00,@,Indianapolis Colts,L 27-44,L -4.5,,New York Giants,O 41,
Sun,Dec 22 2002,1:00,@,Kansas City Chiefs,W 24-22,W -1.5,,San Diego Chargers,O 44,
Sun,Dec 22 2002,1:02,@,Carolina Panthers,W 24-14,W -4,,Chicago Bears,O 36.5,
Sun,Dec 22 2002,1:02,,New Orleans Saints,L 13-20,L -7,@,Cincinnati Bengals,U 49,
Sun,Dec 22 2002,1:02,@,Green Bay Packers,W 10-0,W -6.5,,Buffalo Bills,U 43.5,
Sun,Dec 22 2002,1:02,@,Washington Redskins,W 26-10,W -6.5,,Houston Texans,U 36.5,
Sun,Dec 22 2002,1:03,@,Atlanta Falcons,W 36-15,W -10.5,,Detroit Lions,O 44,
Sun,Dec 22 2002,1:03,,Tennessee Titans,W 28-10,W -3,@,Jacksonville Jaguars,U 41.5,
Sun,Dec 22 2002,4:05,@,Seattle Seahawks,W 30-10,W -2.5,,St Louis Rams,U 48,
Sun,Dec 22 2002,4:15,@,Baltimore Ravens,L 13-14,L -2.5,,Cleveland Browns,U 39.5,
Sun,Dec 22 2002,4:15,@,Oakland Raiders,W 28-16,W -3.5,,Denver Broncos,U 46.5,
Sun,Dec 22 2002,8:36,@,New England Patriots,L 17-30,L -3.5,,New York Jets,O 41,
Mon,Dec 23 2002,9:05,@,Tampa Bay Buccaneers,L 7-17,L -4.5,,Pittsburgh Steelers,U 38,
