Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Nov 24 2002,1:01,@,Pittsburgh Steelers,W 29-21,L -10.5,,Cincinnati Bengals,O 44,
Sun,Nov 24 2002,1:01,,St Louis Rams,L 17-20,L -3.5,@,Washington Redskins,U 41,
Sun,Nov 24 2002,1:02,,Tennessee Titans,L 12-13,L -2.5,@,Baltimore Ravens,U 38.5,
Sun,Nov 24 2002,1:02,,Atlanta Falcons,W 41-0,W -3.5,@,Carolina Panthers,O 37,
Sun,Nov 24 2002,1:02,@,Miami Dolphins,W 30-3,W -4,,San Diego Chargers,U 36.5,
Sun,Nov 24 2002,1:02,@,New England Patriots,W 24-17,L -8,,Minnesota Vikings,U 47,
Sun,Nov 24 2002,1:02,@,New Orleans Saints,L 15-24,L -5.5,,Cleveland Browns,U 48.5,
Sun,Nov 24 2002,1:02,@,New York Jets,W 31-13,W -3,,Buffalo Bills,U 45.5,
Sun,Nov 24 2002,1:03,@,Chicago Bears,W 20-17 (OT),L -5,,Detroit Lions,U 37.5,
Sun,Nov 24 2002,1:03,,Jacksonville Jaguars,L 19-21,L -2.5,@,Dallas Cowboys,O 34,
Sun,Nov 24 2002,4:05,,Oakland Raiders,W 41-20,W -9.5,@,Arizona Cardinals,O 44,
Sun,Nov 24 2002,4:05,,Kansas City Chiefs,L 32-39,L -3.5,@,Seattle Seahawks,O 44,
Sun,Nov 24 2002,4:15,,New York Giants,L 14-16,L -5.5,@,Houston Texans,U 34,
Sun,Nov 24 2002,4:15,@,Tampa Bay Buccaneers,W 21-7,W -3,,Green Bay Packers,U 38.5,
Sun,Nov 24 2002,8:36,@,Denver Broncos,L 20-23 (OT),L -6,,Indianapolis Colts,P 43,
Mon,Nov 25 2002,9:00,@,San Francisco 49ers,L 17-38,L -7,,Philadelphia Eagles,O 37.5,
